"Day","Date","League","Type","Aberrant.Fossil","Aetheric.Fossil","Bloodstained.Fossil","Bound.Fossil","Corroded.Fossil","Dense.Fossil","Enchanted.Fossil","Encrusted.Fossil","Faceted.Fossil","Fractured.Fossil.","Frigid.Fossil","Gilded.Fossil","Glyphic.Fossil","Hollow.Fossil","Jagged.Fossil","Lucent.Fossil","Metallic.Fossil","Perfect.Fossil","Prismatic.Fossil","Pristine.Fossil","Sanctified.Fossil","Scorched.Fossil","Serrated.Fossil","Shuddering.Fossil","Tangled.Fossil","Fractured.Fossil"
38,"2019-07-14","Legion HC","Fossil",1,2,492.50071,7,3,5,3,1,93.51,NA,0.42505,3,29.57,148.81063,2,1,1,10,2,8,15,0.5,18,3,8.19,374.04
39,"2019-07-15","Legion HC","Fossil",1,2,467.55,7,3,4.81505,3,1,75,NA,0.5,3.58,29.37,156.81,2,1,1,10,2,8,15,0.5,18,3,8.27,331.58
40,"2019-07-16","Legion HC","Fossil",0.52,2,462.11,7,3,4,3,1,82.45,NA,0.49,4,28.7,148.13,2,1,0.90505,10,2,8,15,0.5,18.5402,3,9.6,331.97
41,"2019-07-17","Legion HC","Fossil",0.93,2,425.96091,6.06,3,4,4,1,78.03,NA,0.5,4,28.7,140.98,2,1,0.76,9.8903,2,8,15,0.49,18,3,9.49,282.71
42,"2019-07-18","Legion HC","Fossil",1,2,467.55,6,3,4,4,1,84.28964,NA,0.5,5,28.58,156.415,2,1,0.98,9.8103,3,7,15,0.5,19,3,9.24,280.53
43,"2019-07-19","Legion HC","Fossil",1,2,465.05,6,3,5,4,1,91.22,NA,0.45,5.62,28.99,139.54,1.68,1,0.56,10,2,7.3701,15,0.5,20.97015,3,8.87,280.15
44,"2019-07-20","Legion HC","Fossil",1,2,445.931,5.58,3,4.42035,3.41293,1,90.78067,NA,0.5,6,29.405,137.57885,2,1,0.55005,10,2.82015,8,15,0.46,20.19015,3,9.43,276.03
45,"2019-07-21","Legion HC","Fossil",1,2,362,6,3,4,3.47,1,86.72,NA,0.5,6,29.67,135.68143,2,1,0.69,10,3,8,15,0.5,20,3,8.59,278.305
46,"2019-07-22","Legion HC","Fossil",0.56,2,392.21667,6,3,4,4,1,83.51,NA,0.39,6,31.7,132.15,3,0.99,0.78,10,3,8,15,0.39,20,3,9.31,268.542
47,"2019-07-23","Legion HC","Fossil",0.54,2,407.86,6,3,4,4,1,84.01,NA,0.5,6,29.87,131.26,2.10076,1,0.75,10,3,8,15,0.44,21,3,9.03,298.26
48,"2019-07-24","Legion HC","Fossil",0.5001,2,388.98,6,3,5,4.33,1,82.21,NA,0.5,5,29.87,129.74,2.9002,0.98,0.57,12,2.67,8,15,0.5,21.56,3,9.62,226.8275
49,"2019-07-25","Legion HC","Fossil",0.57505,2,388.98,6,8,5,4,1,80.64,NA,0.5,5,29.55,129.74,3,1,0.86,12,3,8.15,15,0.5,21.49051,3,6.62,237.87
50,"2019-07-26","Legion HC","Fossil",0.91,2,356.27,6,6,5,4.75,1,80.64,NA,0.5,6,29.47,129.88364,2,1,1,12,3,9,15.80225,0.5,21,3,4.94,249.6785
51,"2019-07-27","Legion HC","Fossil",1,2,415.6325,6,6,5,5,1,79.77,NA,0.5,5,30,130.61,3,1,1,12,3,9,16,0.5,23,3,4.21,256.95
52,"2019-07-28","Legion HC","Fossil",1,2,444.88333,6,6,5,5,1,79.66,NA,0.5,5,30,127.53,3,1,1,11,3,9,16.17,0.5,22.24005,3.92,6.59,255.06
53,"2019-07-29","Legion HC","Fossil",1,2,413.89,6,6,5,5,1,79.6,NA,0.37,4,34.58,126.03,2.96005,1,1,10.4801,3,9,16,0.5,22,4,6.1,168.4
54,"2019-07-30","Legion HC","Fossil",1,2,516.245,6,6,5,5,1,82.52,NA,0.37,5,45,177.91,3,1,1,11,3,9,16.36,0.5,21.9701,4,17.9,164.72727
55,"2019-07-31","Legion HC","Fossil",1,2,506.78,6.64,6,5,5,1,80.67,NA,0.39,5,45,208.7075,2.82,1,1,11,3,9,17,0.5,20,4,80.48,148.35
56,"2019-08-01","Legion HC","Fossil",1,2,504.692,6,5,4.29025,5,1,104.2,NA,0.5,5,45,217.13,3,1,1,11,3,9,17.47,0.5,21.7703,4,78.585,157.16
57,"2019-08-02","Legion HC","Fossil",1,2,468.41,7,5,4,5,1,239.07,NA,0.5,5,45,191.752,3,1,1,11,3,8.88,18,0.5,22,4,79.49,158.98
58,"2019-08-03","Legion HC","Fossil",1,2,340.17071,7,5,5,5,1,234,NA,0.5,4.33,45,222.9,3,1,1,10.48005,3,9,19.38,0.5,21,4,16.75,156
59,"2019-08-04","Legion HC","Fossil",1,2,366.32,7,5,5,5,1,381.6,NA,0.5,4.8,45.74,229.53,3,1,1,10,3,9,20,0.5,22,4,16.65,147.35179
60,"2019-08-05","Legion HC","Fossil",1,2.34,303.4,6.62,5,5,5,1,303.4,NA,0.5,4.84463,46.19,189.62,3,1,1,10,3,9,21,0.5,23,4,16.57,147.34643
61,"2019-08-06","Legion HC","Fossil",1,2,302.04,6,5,5,5,1,226.53,NA,0.5,4.78,46.65,180.16,3,1,1,10,3,9,20.48364,0.5,23,4,38.1,139.49
62,"2019-08-07","Legion HC","Fossil",1,2,300.04,6,5,5,5,1,225.03,NA,0.5,4,46.79,175.48,3,1,1,10,3,10,20,0.5,25,4,36.64,139.39
63,"2019-08-08","Legion HC","Fossil",1,2,300.04,7,5,4.59,5,1,229.12,NA,0.5,4.63,46.79,194.34,3,1,1,10,3,10,21.68,0.5,25,4,34.65,118.9
64,"2019-08-09","Legion HC","Fossil",1,2,300.04,7,4.5,4.2402,5,1,225.03,NA,0.5,5,48.38,206.09,3,1,1,10,3,9.21015,20,0.5,26.57062,4,33.14,120.44
65,"2019-08-10","Legion HC","Fossil",1,2,300.04,7,4,5,5,1,225.03,NA,0.5,5,48.5,202.99,3,1,1,10,3,10,20.47755,0.5,27,4,27.53,137
66,"2019-08-11","Legion HC","Fossil",1,2,285.91,7.15212,4,4.6803,5,1,226.53,NA,0.5,5,48.4,203.88,3,1,1,10,3,10,20,0.5,25,4,20,119.044
67,"2019-08-12","Legion HC","Fossil",0.96,2.09,264.36,7.1,4,4,5,1,226.62,NA,0.5,5,48.19,203.88,3,1,1,10,3,9,20,0.5,25,4,31.57,113.26
68,"2019-08-13","Legion HC","Fossil",1,2,251.45,7,4,4,5,1,227.97,NA,0.5,5,49.74,167.1,3,1,1,10,3,9,20,0.5,25,4,31.64,113.98
69,"2019-08-14","Legion HC","Fossil",0.99,2,250.65,7,4,4,5,1,227.97,NA,0.5,5,49.63,163.91,3,1,1,10,3,9,20,0.5,24.22,4,33.27,113.98
70,"2019-08-15","Legion HC","Fossil",0.71,2,272.09,6.85,4,5,5,1,0,NA,0.5,5,49.56,194.2875,2.88505,1,1,10,3,9.62,21,0.5,24,4,33.27,116.61
71,"2019-08-16","Legion HC","Fossil",0.62,2,276.5,6.7,4,4.38045,5,1,0,NA,0.5,5,49.56,197.5,3,1,1,10,3,9,21,0.53,24,4,33.27,118.5
72,"2019-08-17","Legion HC","Fossil",0.79,2,280,7,4,4,5,1,0,NA,0.5,5,49.56,200,2,1,1,10,3,9,20,0.55,24,4,36.58,120
73,"2019-08-18","Legion HC","Fossil",0.94,2,247.78,7,4,4,4,1,50,NA,0.5,5,52.19,181.33,3,1,1,10,3,9,19,0.51,23,4,36.58,107.34
74,"2019-08-19","Legion HC","Fossil",1,2,242.91,7.4,4,4,5,1,50,NA,0.5,5,52.19,182.39,3,1,0.99,10,3,9,18.84,0.5,24,4,19.55,103.65
75,"2019-08-20","Legion HC","Fossil",1,2,245.79,7.33,4,4,5,1,100,NA,0.5,5,62.85,203.4,3,1,1,10,3,8.6,18.51845,0.5,24,4,19.55,108.22
76,"2019-08-21","Legion HC","Fossil",1,2.67,247.42833,7.52,3.81,4,5,1,0,NA,0.52,5,62.85,205.168,2.96,1,1,10,3,9,19,0.5,23,4,17.05,106.35
77,"2019-08-22","Legion HC","Fossil",1,2.89022,249.24,7.16,3.09,4,4.88,1,0,NA,0.5,4.4,62.85,181.889,2.98,1,1,10,3,9,19,0.5,24,3.15,16.57,114
78,"2019-08-23","Legion HC","Fossil",1,2.63,252.5,7.54,3,4,4.05,1,0,NA,0.5,5,60.42,182.57,3,1,1,10,3,8.76,18.59,0.5,23,3,16.57,112.07
79,"2019-08-24","Legion HC","Fossil",1,2,225.97,7,3,4,4,1,0,NA,0.5,4,47.96,183.44,3,0.96,1,10,3,8,18.6,0.52,23,3.04,17.12,111.09
80,"2019-08-25","Legion HC","Fossil",1,2.06,167.06,7.86,3,4,5,1,85.12,NA,0.51,4,52.41,170.42,2.96,0.95,1,10,3,8.07515,17,0.53405,23.27,3,17.12,111.09
81,"2019-08-26","Legion HC","Fossil",1,2,166.705,6.98,3,4,5,1,0,NA,0.5,4,36.99,94.14429,2.93,1,1,10,3,8.29,16.71,0.5,23.5463,3,17.12,102.01
82,"2019-08-27","Legion HC","Fossil",1,2.68,165.6,7,3,4,5,1,0,NA,0.51531,4,36.99,135.70083,2.38,1,1,10,3,8,17,0.52,24,3,17.12,102.01
83,"2019-08-28","Legion HC","Fossil",1,3,168.154,6.61,3,4,5,1,361.48,NA,0.59,4.04,36.99,140.77,2.48915,1,1,9.46,3,8,17.32,0.51,20,3,17.12,102.01
84,"2019-08-29","Legion HC","Fossil",1,3,169.61,6,3,3.83,5,1,368.04,NA,0.98,4,36.99,141.55,3,1,1,8.15,3,8,15.51,0.51,20,3,17.12,102.01
85,"2019-08-30","Legion HC","Fossil",1,3,196.23,5.6,3,3.09,5,1,372.72,NA,1,4,36.5,186.36,2,1,1,8.06,3,7.2,17.17485,0.49,17.61,3.53,17.12,111.09
86,"2019-08-31","Legion HC","Fossil",1,2.98056,196.87625,6,2.94,4,5,1.14,375.84,NA,1,4,35.99,187.92,2.44,1,1,8.65,2.8,7.1,16.21,0.51,20,3.18,17.12,111.09
87,"2019-09-01","Legion HC","Fossil",1,2.5,304.57,6.54,2.66,4,5,1.14,379.76,NA,1,4,35.5,189.88,2.61,1,1,8.62063,1.82,6,15.18,0.54,20,3.18,17.19,111.09
88,"2019-09-02","Legion HC","Fossil",1,2.41,388.92,6.61,2.56,4,5,1,388.92,NA,0.93,4,35.5,194.46,2,1,1,9.84,1.67,6,16.47368,0.55,20,3.15,25.54,120
89,"2019-09-03","Legion HC","Fossil",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"2019-12-13","Metamorph HC","Fossil",1,0,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,"2019-12-14","Metamorph HC","Fossil",1,0,0,4.66,3,1,4,4,72.6,NA,1,0,0,0,1,1,1,6,2.33,1,0,1,5,3.1,0,0
3,"2019-12-15","Metamorph HC","Fossil",1,3.70063,0,5.69,4.3,2,3.18,4,53.35,NA,1,6,90.24,0,1,1,1,4.91,3.78833,1,2.63,1,4,4.54182,25,0
4,"2019-12-16","Metamorph HC","Fossil",1,3,53.895,5,7,2,3,3.39,52.55,NA,1,5,99,0,1,3,1,4,3,2,4,1,3,3,25,0
5,"2019-12-17","Metamorph HC","Fossil",1,3,54.9,6.51,6,3,3,3.5,52.55,NA,1,5,99,0,1,3,1,4,3,2,4,1,3,4,16,99
6,"2019-12-18","Metamorph HC","Fossil",1,3,60.74,7.44,5,2,3,3.6,73.31,NA,1,4.49,99,64.1,1,2,1,4,3,2.31409,5,1,3,4,20.5,99
7,"2019-12-19","Metamorph HC","Fossil",1,3,90,8,5,3,3,2.01,59.86,NA,1,4,97.35,59.2,1,2,1,4,3,2,5,1,3,5,21.58,97
8,"2019-12-20","Metamorph HC","Fossil",1,4,87.7,8.16743,5,3,2,3,57.38,NA,1,3.88,96.29,55.98,1,2,1,4,3,2,5,1,3,5,20,97
9,"2019-12-21","Metamorph HC","Fossil",1,4,79.77,8,5,3,2,3,55.63,NA,1,3,46.34,53.2475,1,2,1,4,3,3.62,5,1,3,5,12,98
10,"2019-12-22","Metamorph HC","Fossil",1,3.83923,68.59,8,5.58103,3,3,3,62.12,NA,1,3,35,47.59,2,2,1,4,3,4,5,1,3,7.645,12,79.59
11,"2019-12-23","Metamorph HC","Fossil",1,4,61.64,8,6,3.6402,2,2.84,68.01,NA,1,4,30,40,2,2,1,4,3,4,6.20714,1,4,8.71,18.34,91.07
12,"2019-12-24","Metamorph HC","Fossil",1,4,52.38,8.91512,7,3.31005,2,3,67.47,NA,1,4,25,38,2,2,1,4,3,4,8.26,1,4,8,19.24,44.48
13,"2019-12-25","Metamorph HC","Fossil",1,4,59.72,9,7,3.02505,2.1,2.59636,67.47,NA,1,4,23.92,34.99,3,2,1,4.07,3,4,9.11,1,4,7,20,45.53
14,"2019-12-26","Metamorph HC","Fossil",1,4,50.79583,9,7,4,3,2.98038,70,NA,1,4,23.51,36.64,3,1.92,1,4,2.5,4,7.76,1,4,6,20,73.63
15,"2019-12-27","Metamorph HC","Fossil",1,4,50,10,7,3.52015,2.9801,2.74,70,NA,1,5,17.72,38.25,3,1.5,1,4.66333,3,4,6.07914,1,4,7,20,81.08611
16,"2019-12-28","Metamorph HC","Fossil",1,4,49.51,10,7,4,3,2.88267,70,NA,1,5,18.16,46.6,3,1.7701,1,5,2.80566,4,7.12,1,4,7.91247,18.45,61.06
17,"2019-12-29","Metamorph HC","Fossil",1,4,49.69,9.64944,7,4,3,3,58.62,NA,1,4.12,17.98,45.79,3,1,1,5,3,5,10,1,4.35636,7,18.45,87.75
18,"2019-12-30","Metamorph HC","Fossil",1,4,46.17,8,7,4,3,3,70,NA,1,4.66,20,49.50818,3,1.17,1,5,3,5,10,1,5,6,15,59
19,"2019-12-31","Metamorph HC","Fossil",1,4,43.02,8,8,4,3,3,70,NA,1,4,19,44.81,3,2,1,5,3,5,10,1,5,6,15,59
20,"2020-01-01","Metamorph HC","Fossil",1,4,43.5,8,8,4,3,2.95161,70.05,NA,1,4.46,17,46.6,3,2,1,5,3,5,12,1,5.05741,6,15,59
21,"2020-01-02","Metamorph HC","Fossil",1,4,42.47,8,7.5,4,3,3,65.43,NA,1,5,17,49.48,3,2,1,6,3,5,12,0.75,5.89143,6,15,55.99308
22,"2020-01-03","Metamorph HC","Fossil",1,4,40,8,8,4,3,3,68.02,NA,1,5,16.2875,46.10667,3,1.65121,1,6.50776,3,5,12,1,6,7,12.35,42.26
23,"2020-01-04","Metamorph HC","Fossil",1,3.57063,40,8,8,4.76505,3,3,80.18,NA,1,4.82,15.08,43.28,3,1,1,6.68391,3,5,12,1,6,7,11.32,51.15
24,"2020-01-05","Metamorph HC","Fossil",1,4,35,8,8,5,3,3,88.04375,NA,1,4,15.06,53.775,3,1,1,7,3,5,13,0.6,6,7,10.51,57.85875
25,"2020-01-06","Metamorph HC","Fossil",1,4,35,8,8,5,3,3,89.44,NA,1,4,13.58933,52.76,3,1,1,6,3,5,13,0.99,6,7,10,56.82
26,"2020-01-07","Metamorph HC","Fossil",1,4,35,8,9,5,3,3,91.45,NA,1,4,13.5,55.18,3,1,1,6,3,5,13,1,7,7.89869,10,58.68
27,"2020-01-08","Metamorph HC","Fossil",1,4,31.76,8,8.09121,5,3,3,85.93,NA,0.97,4,12.43,66,3,1,1,6,2.49005,5,12,0.77,6,7.5,9.69,62.39
28,"2020-01-09","Metamorph HC","Fossil",1,4,32.02,7,7,5,3,3,89.505,NA,0.96,4,11.31,85.57,3,1,1,5,2,5,12,1,6,7,9.14,78.42
29,"2020-01-10","Metamorph HC","Fossil",1,4,31.33,7,7,5,3,3,88.22,NA,1,4,13.05,85.22,3,1,1,5,2.5,5,12,1,6,7,9.05,81.2
30,"2020-01-11","Metamorph HC","Fossil",1,4,31.43,7,7,5,3,2.98,82.5,NA,1,4,9.61,79.76,3,1,1,5,3,5,12,1,5.26192,7,8.49,96.8355
31,"2020-01-12","Metamorph HC","Fossil",1,4,32.02,7,6,4,3,3,82.35,NA,1,4,14.46,80.62,3,1,1,4.5,3,5,10,1,5,7,8.95,95.16
32,"2020-01-13","Metamorph HC","Fossil",1,4,31.54,7.89035,6,4,3,3,73.86,NA,1,4,14.68,88.17,3,1,1,4.5,3,5,11,1,5,7,10,86.59
33,"2020-01-14","Metamorph HC","Fossil",1,4,35,8,6,5,3,3,71.73,NA,1,4,14.53,60.74,3,1,1,4,2.5,5,11,1,5,7,10,90.33
34,"2020-01-15","Metamorph HC","Fossil",1,4,35,8,5.5,5,3,3,71.49,NA,1,4,13.74,59.94,3,1,1,4,2.5,5,11,1,5,7.1903,9.64,89.51
35,"2020-01-16","Metamorph HC","Fossil",1,4,35,8,5.5,4,3,3,69.59,NA,1,4,10.89,100,3,1,1,3.52505,2.5,4.6202,11,1,5,7.80535,9.65,68.73
36,"2020-01-17","Metamorph HC","Fossil",1,4,31.95,8,5,4.5,3,3,54.66,NA,1,3.55,14.52,87.67,3,1,1,4,2,5,10,1,5,7,9.87,59.56
37,"2020-01-18","Metamorph HC","Fossil",1,4,30,8,5,4.49005,3,3,55,NA,1,4,14.75,68.33,3,1,1,3.5,2,5,10,1,5,6,10,52.34
38,"2020-01-19","Metamorph HC","Fossil",1,4,30,8,5,4,3,3,66.78444,NA,1,4,16.43,60,3,1,1,3.5,2,4.7401,10,1,5,5,10,56.94
39,"2020-01-20","Metamorph HC","Fossil",1,4,30,8,5,4,3,3,65.51,NA,1,4,16.46,59.9,3,1,1,3.32,2,5,10,1,5,6,10,62.49
40,"2020-01-21","Metamorph HC","Fossil",1,4,30,7,5,4.57545,3,3,61.34,NA,1,4,15.05,63.03,3,1,1,3.5,2,5,10,1,5,6,9.15,55.98
41,"2020-01-22","Metamorph HC","Fossil",1,4,30,7,5,4,3,3,61.915,NA,1,4,15,61.5,3,1,1,3.5,2.4701,5,10,1,5,6,9.18,56.31
42,"2020-01-23","Metamorph HC","Fossil",1,4,29.48,6,5,4,3.91,3,59.68,NA,1,4,15,60,3,1,1,3,3,4.88035,10,0.98005,5,6,12.07,55.15
43,"2020-01-24","Metamorph HC","Fossil",1,4,34.79,6,5,4,3,3,59.8,NA,1,4,15,58.27,2,1,1,3,3,4.5,10,1,5,5.85,12.07,55.3
44,"2020-01-25","Metamorph HC","Fossil",1,4,35.32714,6,5,4,3,3,60.53,NA,1,4,15,55,2.25005,1,1,3,3,4.5,10,1,5,6,12.71214,54.59
45,"2020-01-26","Metamorph HC","Fossil",1,4,35,6,5,4.5,3,3,60.38833,NA,1,4,27.88,53.17,3,1,1,3,2.99005,4.9001,10.86,1,5,6,13,54.15861
46,"2020-01-27","Metamorph HC","Fossil",1,3,34.98615,6,5,4,3,3,53.49,NA,1,4,29.61,60,3,1,1,3,2.5,5,11,1,5,5.1,13.82,54.24063
47,"2020-01-28","Metamorph HC","Fossil",1,3,35.68,6,5,4.16025,3,2.25229,54.63,NA,1,4,30,70,3,1,1,3,2,5,11,1,5,5,13.83,54.83
48,"2020-01-29","Metamorph HC","Fossil",1,4,36,6,5,4,3,2.09,57.92,NA,1,4,30,80,3,1,1,3,2,5,10,1,5.77614,5,13.83,56.92382
49,"2020-01-30","Metamorph HC","Fossil",1,4,36,6,5,5,3,2,58.5,NA,1,4,30,80,3,1,1,3,2,5,11,1,6,5,13.83,57.53
50,"2020-01-31","Metamorph HC","Fossil",1,4,36,6,5,5,3,2.02,599.1,NA,1,4,30,80.67455,3,1,1,3,2,5,11,1,6,5.3403,13,59.78
51,"2020-02-01","Metamorph HC","Fossil",1,4,35.18,6,5,5,3,2,278.095,NA,1,4,30,81.19,3.00035,1,1,3.5,2,5,11,1,6,5,13,60.26
52,"2020-02-02","Metamorph HC","Fossil",1,4,35,6,5,5,3,2,311.85,NA,1,4,29.46,77.22,3.90505,1,1,3.5,2,5,11,0.5,5.9461,5,13.54,60
53,"2020-02-03","Metamorph HC","Fossil",1,4,34,6,5.38616,5,4,2,194.94375,NA,1,4,29.46,86.2,4,1,1,4,2,4.7801,11,0.91,6,5,13.54,57.71
54,"2020-02-04","Metamorph HC","Fossil",1,4,34,6,5.9202,5.10126,4,2,137.01833,NA,1,4,30,88.45,3,1,1,4,2,5,11,1,6,5,14,50
55,"2020-02-05","Metamorph HC","Fossil",1,4,34.01,6,5.6201,5,4,2,96.22,NA,1,4,30,93.03,3,1,1,4,2,5,11,1,5.62,5,14,46.49
56,"2020-02-06","Metamorph HC","Fossil",1,4,34.68,6,5,5,4,2,136.86,NA,1,4,30,93.03,3,1,1,4,2,5,11,1,6,5,14,49.18
57,"2020-02-07","Metamorph HC","Fossil",1,4,32.54,6,5.5,5,3.71,2,120.1,NA,1,4,27.5,93.03,3,1,1,4,2,5,12,1,6,5.25,14,49.34
58,"2020-02-08","Metamorph HC","Fossil",1,4,30.52,6,5.5,5,3,2,114.51,NA,1,4,28.64,90.73,3,1,1,4,2,5,11,1,6,5,14,49.34
59,"2020-02-09","Metamorph HC","Fossil",1,4,30,6,5.2502,5,3,2,114.08,NA,1,4,27.07,93.03,3,1,1,4,2,5,11,0.50005,6,5,14,49.55
60,"2020-02-10","Metamorph HC","Fossil",1,4,30,6,5.22,5,3,2,113.6,NA,1,4,27.07,95.36,4,1,1,4,1.53025,5,11,0.5,6,5.35468,14.32,50
61,"2020-02-11","Metamorph HC","Fossil",1,4,30,6,5.66005,5,3,2,118.88,NA,1,4,21.09,97.96,4,1,1,4,2,5,10,0.5,6,5,14.32,50
62,"2020-02-12","Metamorph HC","Fossil",1,3.69,30,6,5.5,5,3,2,118.88,NA,1,4,21.25,98.21,4,1,1,4,2,5,10,1,6,5,14.32,49.71
63,"2020-02-13","Metamorph HC","Fossil",1,4,30,6,5.5,5,3,2,118.48,NA,1,4,25.25,92.83875,4,1,1,4,2,5,9.88,1,6,5,14.32,49.70778
64,"2020-02-14","Metamorph HC","Fossil",1,4,30,6,5.45,5,3,2,109.65,NA,1,4,25.25,94.31143,4,1,1,4,2,5.43111,10,1,6,5,14.22,48.07
65,"2020-02-15","Metamorph HC","Fossil",1,4,24.58,5.5,5,5,3,2,108.67,NA,1,4,30.75,89.34,4,1,1,4,2,6,10,1,6,5,14.22,48.44
