"Day","Date","League","Type","Aberrant.Fossil","Aetheric.Fossil","Bloodstained.Fossil","Bound.Fossil","Corroded.Fossil","Dense.Fossil","Enchanted.Fossil","Encrusted.Fossil","Faceted.Fossil","Fractured.Fossil.","Frigid.Fossil","Gilded.Fossil","Glyphic.Fossil","Hollow.Fossil","Jagged.Fossil","Lucent.Fossil","Metallic.Fossil","Perfect.Fossil","Prismatic.Fossil","Pristine.Fossil","Sanctified.Fossil","Scorched.Fossil","Serrated.Fossil","Shuddering.Fossil","Tangled.Fossil","Fractured.Fossil"
66,"2020-02-16","Metamorph HC","Fossil",1,4,24.58,6,5.36939,5,3,2,126.12,NA,1,4,25.92,89.33583,4,1,1,4,2,5,10,1,6,6,65,45
67,"2020-02-17","Metamorph HC","Fossil",1,4,26.45,6,5,4.7102,2.97,2,120.41625,NA,1,4,27.85,97.63,4,1,1,4,2,5,10,1,6,6,65,45
68,"2020-02-18","Metamorph HC","Fossil",1,3,24.5,6,5,4.97,2.99,2,125.435,NA,1,4,27.85,98.28,4,1,1,4,2,5,10,1,6,6,65,46.83
69,"2020-02-19","Metamorph HC","Fossil",1,3,24,6,5,5,2.99,2,130.92,NA,1,3.85,27.85,115.755,4,1,1,4,2,5,10,1,6,6,65,45
70,"2020-02-20","Metamorph HC","Fossil",1,3.02,24,6,5,4.87,2.83,2,130.86875,NA,1,4,27.85,123.89,4,1,1,4,2,5,10,1,6,6,65,45
71,"2020-02-21","Metamorph HC","Fossil",1,3,24,6,5,5,2.74,2,130.25,NA,1,4,28.27,123.9,4,1,1,4,2,5,10,1,6,6,65,45
72,"2020-02-22","Metamorph HC","Fossil",1,3,24.3,6,5,5,2.74,2,157.8,NA,1,4,22.3,105.44,4,1,1,4,2,5,10,1,6.05,6,65,45
73,"2020-02-23","Metamorph HC","Fossil",1,3,24.3,6,5,5,2.64087,2.39,156.3,NA,1,3.55,18.45,119.118,4,1,1,4,2,4,10,1,6.08,6,125.08,45
74,"2020-02-24","Metamorph HC","Fossil",1,3,24.31,6,5,4,2.22,2.138,155.62,NA,1,3.79,27.5,119.9925,4,1,1,4,2,5,10,1,7,6,124.38,45
75,"2020-02-25","Metamorph HC","Fossil",1,3.91,24.31,6,5,4.52,2.32,2.16,159.8,NA,1,3.65143,52.53,106.42,4,1,1,4,2,5,10,1,7,5.41,122.76,45
76,"2020-02-26","Metamorph HC","Fossil",1,3.69,24.31,6,5,4.02,2,2.93,159.72,NA,1,4,52.48,117.12,4,1,1,4,2,5,11,1,6.82,5.24,122.7,45
77,"2020-02-27","Metamorph HC","Fossil",1,3.39,24.31,6,5,4.8402,2,2.9,186.93,NA,1,3.81,62.12667,89.448,4,1,1,4,2,5,11.2,1,6,6,57.5,45
78,"2020-02-28","Metamorph HC","Fossil",1,3,24.22,6,5,4.18596,2,2.72,187.17,NA,1,3.525,62.33,86.62,4,0.98,1,4,2,4.85122,11,1,6,6,52.07,45
79,"2020-02-29","Metamorph HC","Fossil",1,3,29.21,6,5,4,2,2,190.875,NA,1,3.2,63.64,91.09,3.44,1,1,4,2,4.09762,10.54,1,6,6,52.07,45
80,"2020-03-01","Metamorph HC","Fossil",1,3,29.2,6,5,4,2,2,190.5675,NA,1,3.21,63.52125,63.85,4,1,1,4,2,5,10.21,1,6,6,52.07,45
81,"2020-03-02","Metamorph HC","Fossil",1,3.56,29.03,6,5,4,3.24,2,185.88,NA,1,3.14,61.96,86.25,3.58,1,1,4,2,4,10.18,1,6,5.51,52.07,45
82,"2020-03-03","Metamorph HC","Fossil",1,4,62.26,6,5,4,3,2,186.84,NA,1,3.58,62.25625,84.37,4,1,1,4,2,4,9.85333,1,6,5.35,52.07,45
83,"2020-03-04","Metamorph HC","Fossil",1,4,61.805,6.29,5.22,4,3,2,185.415,NA,1,4,61.80125,82,3.52211,1,1,4,2,4.00201,10.35,1,6,6,52.07,48.31
84,"2020-03-05","Metamorph HC","Fossil",1,4,61.8,6,5.6,4,3,2,185.4,NA,1,4,61.79,81.30214,3,1,1,4,2,5,10.23,1,5,5,52.07,57.92
85,"2020-03-06","Metamorph HC","Fossil",1,4,61.75,6,5.72,4,2.78452,2,185.25,NA,1,4,61.75,81.25,3.2,1,1,4,2,4.02,9.99,1,5,5.67793,52.07,57.92
86,"2020-03-07","Metamorph HC","Fossil",1,4,62.1,6,5.68,3.15063,2.68,2,186.525,NA,1,4,62.1,78.85,3.84,1,1,4,2,4,9.76,1,5.4,5.33,52.07,64.76
87,"2020-03-08","Metamorph HC","Fossil",1,4,62.16,6,5.16,3,2.76,2,0,NA,1,4,62.16,75.8,3,1,1,4,2,4.01,8.12,1,5.28,5.26848,51.09,64.76
88,"2020-03-09","Metamorph HC","Fossil",1,3.82,62.95,6,5.17,3,2.77,2,0,NA,1,4,63.51,76.76,2.79535,1,1,4,2,4,8.03,1,5,5.4,51.09,64.76
1,"2019-03-08","Synthesis HC","Fossil",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"2019-03-09","Synthesis HC","Fossil",1,2,0,1.71,1,5,1.1,5,0,NA,2,20,50,0,1,1.836,2,3,1.23846,2,8,1,2,4,0,0
3,"2019-03-10","Synthesis HC","Fossil",1,2,147.34667,2,1,5,3,5,0,NA,1,7.42,65,183.78,1,1,2.85,3,2,2,8,1,2,2.68,98.1,0
4,"2019-03-11","Synthesis HC","Fossil",1,4,136.41429,2,1,7,3,4,50.87,NA,1,5.19,56.46167,114.55,1,1,2.9,3,2,3,7,2,2,2,55,98.95
5,"2019-03-12","Synthesis HC","Fossil",1,4,156,4,1,9,3,3.5,51,NA,1,5,50,90,1,1,3,5,2,4,5,1,2,2,44.5,156
6,"2019-03-13","Synthesis HC","Fossil",1,4,127.58,5,1,9,3,3.5,86.47,NA,1,5,34.54,90,1,1,3,5,2,4,7.17,1,2,2,40,162
7,"2019-03-14","Synthesis HC","Fossil",1,4,97.41125,5,1,9,3,3,76.45571,NA,1,4,30.02,80,1,1,3,5,2,4,13.62,1,2,2,37.27,111.835
8,"2019-03-15","Synthesis HC","Fossil",1,4,142.84,5,1,10.22818,3,2,80,NA,1,4,30.02,79.51,1,1,3,5,2,4,14,1,2,2,33.085,112.89077
9,"2019-03-16","Synthesis HC","Fossil",1,4,158.42333,4,1,11,3,2,70,NA,1,4,39.35,75.35,1,1,3,5,2,4,14,1,1.1601,2,30,117
10,"2019-03-17","Synthesis HC","Fossil",1.6703,4,185.02714,5,1,10.07636,3,2,48,NA,1,4.49,31.36,51.82,1,1,3,5,2,4,14,1,2,2,24,95.84647
11,"2019-03-18","Synthesis HC","Fossil",1.5,4,170,5,1,11,3,2,40,NA,1,5,28.39,50.81,1,1,3,5,2,5,14,1,2,2,17.35,82.07
12,"2019-03-19","Synthesis HC","Fossil",1,4,149.96,5,1,11,3,2,43.43,NA,1,5,28.77,52.03,0.96005,1,3,5,2,5,14,1,1.78,2,14.68667,79.52647
13,"2019-03-20","Synthesis HC","Fossil",1,4,128.08,4,1,11,3.73,2,45.61,NA,1,5,29.21,65,0.9,0.96,3,5,2,5,14,1,1,3,13,76.68
14,"2019-03-21","Synthesis HC","Fossil",1,4,100,4,0.93,11,4,1.85,61.78,NA,0.95005,5,29.97385,66.73714,0.91,0.98,2.8301,5,2,5,15,1,1,2.93,10.25,80
15,"2019-03-22","Synthesis HC","Fossil",1,4,89.75,4,0.92,10.95,4,1,65,NA,1,5,25,60,0.87,1,2.3,5,2,4,15,1,1,3,9,67.82
16,"2019-03-23","Synthesis HC","Fossil",0.94,4,99.4,4,0.88,10.96515,4,1,64.32,NA,1,4,23.10385,65,0.88,0.94,3,5,2,4,15.04018,1,1,3,8.94,72.159
17,"2019-03-24","Synthesis HC","Fossil",0.99,4,90,4,1,10.6201,4,1,65.22,NA,1,4,24.62,64.69,0.86,0.89,3,4,2,5,15.69,1,1,3,7.0225,71.49
18,"2019-03-25","Synthesis HC","Fossil",0.86005,4,77.28,4,0.98,10,4,1,64.33,NA,1,4,30,64.52,0.59,0.86005,3,4,2,5,19,1,1,3,7,75.57
19,"2019-03-26","Synthesis HC","Fossil",0.91,4,62.83,4,0.88,10,4,1,80,NA,1,4,30,65,0.5,0.86,3,4,2,5,19.77,1,1,3,7,80
20,"2019-03-27","Synthesis HC","Fossil",0.98505,4,50,4,0.99,10,4,1,81.62,NA,1,4.15,29.36,65,0.5,1,3,4,2,5,19.88,1,1,3,7,85.96
21,"2019-03-28","Synthesis HC","Fossil",0.88,4,56.88,4,0.88,10,4,1,81.06,NA,1,5,29.6,68.17,0.5,1,3,4,2,5,18,1,1,3,7,85
22,"2019-03-29","Synthesis HC","Fossil",0.86,4,56.88,4,0.86,10,4,1,108.53,NA,1,4.96,31.03,65,0.5,0.86,3,4,2,5,17.65,1,1.41,3,7,85.28
23,"2019-03-30","Synthesis HC","Fossil",0.52,4,65.14,4,0.5,10,4,1,131.48,NA,1,5,31.32,70,0.44,1,3,4,2,5,17,1,1,3,7,91.15
24,"2019-03-31","Synthesis HC","Fossil",0.64,4,67.63,4,0.5,10,4,1,106.22,NA,1,5,60,70,0.5,1,3,4,2,5,18.38,1,1,3,7,102.06
25,"2019-04-01","Synthesis HC","Fossil",0.86,3.81,75,4,0.5,10,4,1,119.76,NA,1,5,60,70,0.5,1,3,4,2,5,20,1,1,3,6.82,112.25375
26,"2019-04-02","Synthesis HC","Fossil",0.72,4,65.79,4,0.5,9.4802,4.05,1,104.08,NA,1,5,56.71,70,0.5,1,3,4.89,2,5,20,1,1,3,6.69,103.58071
27,"2019-04-03","Synthesis HC","Fossil",0.78025,4,68.61,4,0.5,9.2401,5,1,98.19625,NA,1,5,48.43,67.44,0.5,1,3,4.5,2,5,20,1,1,3,6.63,103.426
28,"2019-04-04","Synthesis HC","Fossil",0.65,4,67.94,4,0.5,9.5,5,1,111.6,NA,1,5,44,72.34,0.5,1,2,4,2,5.58,20,1,1,3,6.54,98.43
29,"2019-04-05","Synthesis HC","Fossil",0.51,4,69.06,4,0.5,9,5,1,113.85,NA,1.02,5,44.59,72.6,0.5,0.77,3,4,2,5,20,1,2,3.57,6,159.21
30,"2019-04-06","Synthesis HC","Fossil",0.5,4,69.06,4,0.5,9,5,1,91.15567,NA,1,5,50,79.322,0.5,0.65505,3,4,2,5,20.75,1,1,3,6,170.39
31,"2019-04-07","Synthesis HC","Fossil",0.5,3.2001,75,4,0.5,9,5,1,118.96,NA,1,5,50,79.28,0.5,0.97,3,4,2,5.5,21.21792,1,2,4,5.47,176.12667
32,"2019-04-08","Synthesis HC","Fossil",0.5,4,75,4,0.5,8.83086,5,1,121.47,NA,1,5,49.8,91.4,0.49,0.95005,3,4,2,5.44,20,1,2,3.08,5,266.42
33,"2019-04-09","Synthesis HC","Fossil",0.5,4,75,4,0.5,7.65566,5,1,128.85333,NA,1,5,49.8,76.51,0.44,0.76525,3,4,3,5,20.9907,1,2,4,5,228.18
34,"2019-04-10","Synthesis HC","Fossil",0.5,4,90.7,4,0.43,7.17167,5,1,126.5675,NA,2,5,48.47,132.03,0.5,1,3,4,3,5,21.7,1,2,4.74404,4.82,302.90167
35,"2019-04-11","Synthesis HC","Fossil",0.5,4,148.1,4,0.5,7.5,5,1,109.16,NA,2,5,48,112.1,0.5,1,3,4,4,5,22,1,2,6,5,440
36,"2019-04-12","Synthesis HC","Fossil",0.5,3.6002,186.75,4,0.5,7.8701,5,1,119.64958,NA,2,5,43.47,198.59,0.5,1,3,4,4,5,23.26,1,2,6,5,377.91
37,"2019-04-13","Synthesis HC","Fossil",0.5,4,210.14,4,0.5,8,5,1,153.43796,NA,1.76,5,32.99,226.02,0.5,1,3,4,4,5,24,1,2,6,5,361.51
38,"2019-04-14","Synthesis HC","Fossil",0.5,4,208.98,4,0.5,8,5,1,132.54,NA,1.44005,5,30,220.04,0.5,1,3,4,4.78,5,25,1,2,5.94025,5,361.67
39,"2019-04-15","Synthesis HC","Fossil",0.49,4,211.37,5,0.5,8,5,1,132.76,NA,2,5,30,212.36,0.5,0.87,3,4,3.8002,5,24.51,1,2,6,5.19,442.55
40,"2019-04-16","Synthesis HC","Fossil",0.5,4,221.28,5,0.34,9,5,1,132.76,NA,2,5,32.35,182.41,0.49,1,3,4,3.95025,4,22,1,3,6,5.19,318.1
41,"2019-04-17","Synthesis HC","Fossil",0.5,4,222.12,5,0.34,9,5,1,130.37239,NA,1.5,5,40.43,177.02,0.47,1,3,4,4,5,22,1,3,6,5,398.709
42,"2019-04-18","Synthesis HC","Fossil",0.5,4,221.2,5,0.5,9,5,1,133.47,NA,1,5,36.42,172.4,0.5,0.97,3,4,4,5,23.61,1,2.28005,5,5,381.98
43,"2019-04-19","Synthesis HC","Fossil",0.5,4.23,232.86875,4,0.5,9,5,1,89.65205,NA,1.59,5,30.86,153.49,0.5,0.99,3,4,3.0501,4.8201,25,1,2,5,5,384.63
44,"2019-04-20","Synthesis HC","Fossil",0.5,4,215.19,5,0.5,9,5,1,134.22,NA,1.85,5,35.29,134.22,0.5,1,3,4,3,4.05005,25,1,2.8904,5.76,5,357.92
45,"2019-04-21","Synthesis HC","Fossil",0.48,4,219.26,4.1601,0.5,9,5,1,134.85,NA,1.85,5.18,28.92,139.33107,0.5,1,3,4,3,4.57,25,0.95,3,5.90505,5,359.44
46,"2019-04-22","Synthesis HC","Fossil",0.46,4,214.924,5,0.5,9.6302,5,1.02,134.31,NA,2,6,27.48,131.7,0.48,1,3,4,3.0701,4.80005,25,1,3,6,5.5,333.32571
47,"2019-04-23","Synthesis HC","Fossil",0.44,4,194.01,5,0.5,9,5,1,145.04,NA,2,6,27,126.58,0.48,1,3,4,3.63,5,24.68,0.77,3,6,5.62,246.86083
48,"2019-04-24","Synthesis HC","Fossil",0.22,3.54,162.984,4.81414,0.49,10,5,1,142.92,NA,2,5.15,29.5,153.27,0.5,1,2.5,3.51,4,5,23,1,3,6,5.80333,283.94
49,"2019-04-25","Synthesis HC","Fossil",0.5,4,161.834,5,0.48,10,5.75,1,140,NA,2,5,29.5,149.54,0.5,1,2.96,4,3.66,5,23,1,3,5.51,5.95,267.93
50,"2019-04-26","Synthesis HC","Fossil",0.5,4,161.98333,5,0.5,10,5.96578,1,131.49,NA,2,5.44,28.14,145.95714,0.48,1,2.67,4,4,5,24.7,1,3,5.85,6.44,202.52
51,"2019-04-27","Synthesis HC","Fossil",0.5,4,158.44,5,0.5,11,5.74123,1,130,NA,2,5,30.36,142.09,0.5,1,3,4,4,5,23,1,3,5,6.24,270.96
52,"2019-04-28","Synthesis HC","Fossil",0.5,4,144.11444,5,0.5,10,6,1.19,131.28357,NA,2,6,31.48,110.60944,0.5,1,3,4,4,5,24.73,1,3,5,6.46,309.64333
53,"2019-04-29","Synthesis HC","Fossil",0.5,4,120,5,0.5,10,5.69276,1.22,142.505,NA,2,5,31.48,109.5,0.5,1,3,4,4,5,28,1,3,5,6.63778,249.37
54,"2019-04-30","Synthesis HC","Fossil",0.5,4,115.95,5,0.5,10,5.93,1.37,143.1,NA,2,5,25,105.32,0.5,1,3,4,4,5,27.96,1,3,5,6.74,230.97333
55,"2019-05-01","Synthesis HC","Fossil",0.5,4,115.26,5,0.49,10.63,6,1.57,143.16438,NA,2,5,25,108.75,0.5,1,2,4,4,4.39,26.9,1,2.97,5,8.86,175.3
56,"2019-05-02","Synthesis HC","Fossil",0.5,4,117.3,5,0.5,10.58,6.48,1.67,142.125,NA,1,4.91,25,108.66,0.5,1,2,4,4,5,27.07,1,2.25,5,8.34,174
57,"2019-05-03","Synthesis HC","Fossil",0.5,4,119.65,5,0.5,11,6.4,2,127.43,NA,1.66,4.22,27.55,108.42889,0.5,1,2,3.23,4,5,25,1,2.56,5,7.96,203.07
58,"2019-05-04","Synthesis HC","Fossil",0.5,4,117.73,5,0.48,11,6.32904,2,137.03,NA,2,4,28.67,108.83278,0.5,1,2,3,4,5,25,1,3,5,7.96,164.72583
59,"2019-05-05","Synthesis HC","Fossil",0.5,4,117.44,5,0.5,11,6.73,2.18,127.92,NA,2,4,29.07,109.48,0.51,1,2,3.71,4,5,25,1,3,4,8.4,224.435
60,"2019-05-06","Synthesis HC","Fossil",0.5,4,117.44,5,0.4,11,6.14,2.73,130.31,NA,2,4,29.16,126.5,0.42,1,2,4,4,5,24,1,3,5,8.4,243.25429
61,"2019-05-07","Synthesis HC","Fossil",0.29,4.64,117.44,5,0.24,10,6,2.56,132.61,NA,2.68051,4,29.72,126.74,0.42,1,2,4,4,5,24,1,3,5,8.77,227.165
62,"2019-05-08","Synthesis HC","Fossil",0.21,4,109.77,5,0.49,10,6.11,3,132.61,NA,3,4,29.72,114.73,0.42,1,2,4,3.51,5,25.93556,1,3,5,10,226.82
63,"2019-05-09","Synthesis HC","Fossil",0.37,4.35,110,5,0.44,10,6.52,3,110.81,NA,2.88,4,29.72,116.36,0.45,1,2,4,3,5,24,1,3,5,10,222.15
64,"2019-05-10","Synthesis HC","Fossil",0.43,4,95.67,5,0.39,12.11,6.37,3,94.35,NA,2.0004,4,30,116.15,0.46,1,1.98,4,3,5,20,1,3,5,10,221.37
65,"2019-05-11","Synthesis HC","Fossil",0.38,4.04,90,4.81,0.37,13,6.12,3,74.97,NA,2,4,29.82,117.34125,0.46,0.93,2,4,3,5.33,20,1,3,4.64,10,223.31
66,"2019-05-12","Synthesis HC","Fossil",0.43,4,90,5,0.4,11.52,6.06,3,74.94,NA,2,3.97,29.54227,134.76,0.47,0.91,2,4,3,5,20,1,3,4.69,10,223.19
67,"2019-05-13","Synthesis HC","Fossil",0.43,4,103.58,5,0.41,11.52,6,3,74.91,NA,2,4,29.35,134.77,0.46,0.86,2,4,3,5.09,20,1,3,4.44,10,223.01
68,"2019-05-14","Synthesis HC","Fossil",0.43,4,100.07143,5,0.4,11.42,6.43,3,75.07,NA,2,4,30,129.55,0.46,0.93,2,4,3,5.06,20,1,3,4.35,10,224.05
69,"2019-05-15","Synthesis HC","Fossil",0.47,4,97.88,5,0.41,12.2,6,3,75.09,NA,2.26,3.75,30,129.6625,0.46,0.76,2,4,3,5.09,20,1,3,4,10,224.14
70,"2019-05-16","Synthesis HC","Fossil",0.47,4,95.94,5,0.42,12.54,6,3,75.62,NA,2.49,3.59,40.3,131.56,0.47,0.71,2,4,3,5,20,1,3,4,10,382.55
71,"2019-05-17","Synthesis HC","Fossil",0.48,3.76,95.94,5,0.42,12.12,6,3,75.34,NA,2.53795,3.7,40.3,140.65,0.47,0.67,2,4,3,5,20,1,3,4,10,387.47
72,"2019-05-18","Synthesis HC","Fossil",0.48,3.58,95.94,5,0.41,12.04,5.07,3,75.28,NA,2.57,3.35,36.48,140.59,0.5,0.69,2,4,3,4.78737,19.64,1,2.93,4.06,10,386.44
73,"2019-05-19","Synthesis HC","Fossil",0.5,3.5,95.94,5,0.37,12.26,5,3.71,75.37,NA,2.74,3.06,50,140.9,0.5,0.56,2,4,3,4.2538,19.56,1,2.44,4,10,455.4
74,"2019-05-20","Synthesis HC","Fossil",0.51,3.44,93.98,5,0.38,12,5,3.73,75.7325,NA,2.2,4,50,142.96,0.5,0.75,1.75,4,3,4.15,19.9,1,2.44,4.27,10,464.16
75,"2019-05-21","Synthesis HC","Fossil",0.59,3.11,93.98,5,0.44,11.24,5,3.75,75.66,NA,2,3.07,50,142.64,0.48,0.55,1.45,4,3,5,19.81,1,2.27,4.08,10.44,462.66
76,"2019-05-22","Synthesis HC","Fossil",1,3.7,90,5,0.4,11.33,5,3.75,75.79,NA,2,3.07,50,300,0.48,0.55,1.75,4,3,4.94,19.72,1,2,4.75,10.44,465.06
77,"2019-05-23","Synthesis HC","Fossil",1,3.7,90,5,0.36,11.33,4.94,4.43,77.71,NA,2,4.88,50,300,0.5,0.9,1.64,4,3,4.38,19.54,1,2,4.67,14,465.06
78,"2019-05-24","Synthesis HC","Fossil",0.98,4,90,5,0.62,11.33,5,4.43,77.75,NA,2,5.94,20,0,0.5,0.91,2.61,4,3,4.56,28.1,1,2,4.67,0,117.905
79,"2019-05-25","Synthesis HC","Fossil",0.63,4,0,5,0.65,11,5,4.43,0,NA,2,11.44,20,0,0.44,0.95,2.52,3.86,3,4.56,45,1,2.69,6,0,117.08
80,"2019-05-26","Synthesis HC","Fossil",0.6,4,0,5,0.65,11.13,5,4.43,0,NA,2,11.44,20,0,0.39,0.86,1.99,3.65,3,2.85,45,1,2.52,6.61,0,77.51
81,"2019-05-27","Synthesis HC","Fossil",0.54,4,0,5,0.59,11.03592,5,4.43,0,NA,2,11.44,20,0,0.33,0.86,1.99,3.42,3,3.04,45,1,2.52,6.61,0,78.81
82,"2019-05-28","Synthesis HC","Fossil",0.54,4,0,5,0.58455,11,5,4.95,0,NA,2,11.44,20,0,0.32,0.74,1.9,3.14,3,3.04,45,1,2.52,6.41,0,78.85
83,"2019-05-29","Synthesis HC","Fossil",0.45,4,0,5,0.5,11.2,6.26,4.95,0,NA,2,11.44,20,0,0.31,0.73,1.8,3.14,3,3.08,45,1,2.42,6.22,0,82.54
84,"2019-05-30","Synthesis HC","Fossil",0.7,4,0,5,0.5,10.88,6.26,4.66,0,NA,2,11.44,20,0,0.31,0.73,2.39,3.14,3,5.55,45,1,2.42,6.22,0,83.52
85,"2019-05-31","Synthesis HC","Fossil",0.86,4,245.97,5.39,0.44,10.77,6.26,4.66,0,NA,2,11.44,20,0,0.33,1.32,2.39,1.79,3,5.55,45,1,2.42,6.22,0,81.56
86,"2019-06-01","Synthesis HC","Fossil",0.87,2.8,246.72,5,0.44,10.8,8.4,5.4,0,NA,2,11.44,20,0,0.32,1.43,2.64,1.61,3,5.66,45,1,2.42,6.22,0,82.24
87,"2019-06-02","Synthesis HC","Fossil",0.741,2.21,268.86,5,40,11.13,8.63,5.4,0,NA,2,11.87,20,0,0.4,2.21,3,1.61,3,6.54,48.71,1,2.32,6.22,0,89.62
88,"2019-06-03","Synthesis HC","Fossil",0.75,2.25,274.17,5,40,10.51,8.85,5.63,0,NA,2,15,20,0,0.49,2.32,3.65,1.53,3.87,6.66,48.27,1,2.43,8,0,91.39
89,"2019-06-04","Synthesis HC","Fossil",0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
