"Day","Date","League","Type","Gilded.Ambush.Scarab","Gilded.Bestiary.Scarab","Gilded.Breach.Scarab","Gilded.Cartography.Scarab","Gilded.Divination.Scarab","Gilded.Elder.Scarab","Gilded.Harbinger.Scarab","Gilded.Perandus.Scarab","Gilded.Reliquary.Scarab","Gilded.Shaper.Scarab","Gilded.Sulphite.Scarab","Gilded.Torment.Scarab","Polished.Ambush.Scarab","Polished.Bestiary.Scarab","Polished.Breach.Scarab","Polished.Cartography.Scarab","Polished.Divination.Scarab","Polished.Elder.Scarab","Polished.Harbinger.Scarab","Polished.Perandus.Scarab","Polished.Reliquary.Scarab","Polished.Shaper.Scarab","Polished.Sulphite.Scarab","Polished.Torment.Scarab","Rusted.Ambush.Scarab","Rusted.Bestiary.Scarab","Rusted.Breach.Scarab","Rusted.Cartography.Scarab","Rusted.Divination.Scarab","Rusted.Elder.Scarab","Rusted.Harbinger.Scarab","Rusted.Perandus.Scarab","Rusted.Reliquary.Scarab","Rusted.Shaper.Scarab","Rusted.Sulphite.Scarab","Rusted.Torment.Scarab","Gilded.Legion.Scarab","Polished.Legion.Scarab","Rusted.Legion.Scarab"
1,"2018-12-07","Betrayal HC","Scarab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,1,1.12,0.35,0.535,10,1,1,1,1,0,2,NA,NA,NA
2,"2018-12-08","Betrayal HC","Scarab",1.4,9,2,6.98,1,8.65,5.5,0,0,3,0,0,3,2.2,1,15,5,2.4,2,5,42.645,1,5,2.31,0.99,0.30538,1,1,1,1,1,0.65833,1,1,1,0.60071,NA,NA,NA
3,"2018-12-09","Betrayal HC","Scarab",3,4.2,3.415,5,18.3,5,3.98,1.43,4,1,1,1.23,2,1.6,5.4,4,5,1.46,2,1.89,7.85833,1,2,2,1,0.31091,1,1,1,1,1,1,1,0.675,1,0.28,NA,NA,NA
4,"2018-12-10","Betrayal HC","Scarab",2,2.07,5.3,7.63,8.77273,2.47917,4.2,1.64,4,1,10.55,1.78,2,2,5,4.14,4.31412,1,2,1,5.27,1,2.48,1,1,0.54,1,1,1,1,1,1,1,0.31,2,0.31402,NA,NA,NA
5,"2018-12-11","Betrayal HC","Scarab",3,2.69,4,10,7,2,4.41,2,9.70375,1,9.78,1,2,2,5,5.48,4.9,1,2,2,2,1,4.08,1,1,1,1,1,1,0.87031,1,1,1,0.48051,5.746,0.49347,NA,NA,NA
6,"2018-12-12","Betrayal HC","Scarab",3,4,5,11.19652,7,2,4,2.37,9.14237,1,10,1,2.03,2,4,9.10708,4.51317,1,2,2,3.4405,0.98,7,1,1,1,1,2,1.39667,1,1,1,1,0.53,6,0.58,NA,NA,NA
7,"2018-12-13","Betrayal HC","Scarab",4,3.5,5,10.77,7.44,2,4,3,8.63,1,10,1,3,2,4,10,4,0.97,2.02375,3,3,0.7,8.44,1,1,1,1,4,2,1,1,1,1,0.42,6.66423,0.46,NA,NA,NA
8,"2018-12-14","Betrayal HC","Scarab",4,4,4,13.1,6.87,3,5,3,8.32,1,10.83837,1,4,2,4,10,4.46711,1,1.81,2,3.68,0.88,9,1,1.47282,1,1,2.74,2,1,1.16,1.26,1,0.4402,7,0.9801,NA,NA,NA
9,"2018-12-15","Betrayal HC","Scarab",5.84184,4,4,16.86667,8.21,3,5,3.61,7,1,11,1,3.71,1.68,4,12.63841,4.46483,1.32,4,2,4,0.88,9,1,1.222,1,1.92333,2.63,2,0.49,2,2,1,0.44,7.83,1,NA,NA,NA
10,"2018-12-16","Betrayal HC","Scarab",7.0302,4,5,22,18.2275,3.06436,5,3,5,1,11.43559,1,4,1.91,4,11.84348,5,1.88882,3.12,2,3,0.9301,9.05,1,2,1.69,2,4,2,1,3,2,1,0.44,7.99606,1,NA,NA,NA
11,"2018-12-17","Betrayal HC","Scarab",6,6.05692,5.25,21.6122,17.4384,3,6.09,4,4.05102,1,12.09,1,4.02212,1.67,4.28933,13,8,2,4.52647,2,3,0.57612,10,1,3,1.08029,2,4.57,2,1,3.49,2,1,0.45,8,1,NA,NA,NA
12,"2018-12-18","Betrayal HC","Scarab",6,7,6,19,16,3.17533,7,3.84041,4,1,18.10347,1,4.06,3.61074,4,12.99,8.17,2,5,2,3,0.94,10,1,3,1.81,2,4,2.354,1,3,1,1,0.47,8.82,0.97,NA,NA,NA
13,"2018-12-19","Betrayal HC","Scarab",6,6,5.19444,18,9.9802,3.22526,7,3,4,1,17.78071,1.93,4,3.87027,4,12.04615,9,2,4,2,3,0.9501,13.56,1,3,2,1.89,4,3,1,3,1,1,0.86082,10,0.96,NA,NA,NA
14,"2018-12-20","Betrayal HC","Scarab",6.06,6,5.80427,12,11.61796,4,5,2.0102,4,1,17,2,5,4,4,10,9,1,3,2,3,0.97,13.21102,1,3,2,1.64,4,3,1,2,1,1,0.99,10.13082,1,NA,NA,NA
15,"2018-12-21","Betrayal HC","Scarab",7.15,6,6,10,13.30041,4,5,2,4,1,16,2,5,3.21,4,8,7.65,1,4,2,3,0.89041,13,1,3,2,1,4,2.31796,1,2,1,1,0.97,10,1,NA,NA,NA
16,"2018-12-22","Betrayal HC","Scarab",8,6,5.47163,11.70612,13,4.00838,4,2,4,1,15,2,5,3.6263,4,9,7,1,4,2,2,0.39,12.8802,1,3,1.98531,2,4,3,1,2,1,1,0.9302,10,0.42,NA,NA,NA
17,"2018-12-23","Betrayal HC","Scarab",9.8,6.39,6,14.52102,12,4,5,3,4,1,16,2,5,4,4,10,5,1.52,3,2,2,0.82571,12,1,3,1.96,1.25,4,2,1,2,1,1,0.8551,9.70041,0.69551,NA,NA,NA
18,"2018-12-24","Betrayal HC","Scarab",10,6.4651,7,16.49551,13,5,5,3,3.89,1.2,20,2,5,4,4,10,5,2,4,2,2,0.39,13,1,2.72939,1.61122,1,4,2,0.52551,2,1,0.94531,0.4,10,0.76,NA,NA,NA
19,"2018-12-25","Betrayal HC","Scarab",10,6,7,14.76051,13,5,5,3,4,1.01,17.06112,2,5,3.51143,4,9,5,2,4,2,2,0.67,14,1,2,1.23143,1.36,3.71,2,0.39,2,1,1,0.39,10,0.39,NA,NA,NA
20,"2018-12-26","Betrayal HC","Scarab",11.13041,6,7,14.96041,14,5,5,3,4.6375,1.23061,17,2,5,3,4.17692,9.18306,4,1.86,4,2,2,1,14,1,2,2,1.71,4,1.5,0.39,2,1,1,0.41,10,0.4,NA,NA,NA
21,"2018-12-27","Betrayal HC","Scarab",12,6,7,14.41,12,5,5,3,4.50949,2,17,2,5,4.25,4,8.56,4,2,3,2,2,0.73,14,1,2,3,2,4,2,0.44,2,1,1,0.43,10,0.7451,NA,NA,NA
22,"2018-12-28","Betrayal HC","Scarab",12,6,7.92464,14,12.55571,5,5,3,5,2,15.97061,2,5,4,4.66975,8,4.45,2,3,2,2,0.72,13.92,1,3,3,2,4,2.7102,0.8,2,1,1,0.44,10,0.72,NA,NA,NA
23,"2018-12-29","Betrayal HC","Scarab",10,6.99,9,14,11.73041,5,5.4,3,5,1,16,2,4.38556,4,5,9,5.53244,2,2.02297,2,2,0.5202,13.58133,1,2,2,2,4,2,1,2,1,1,0.49,10,0.8601,NA,NA,NA
24,"2018-12-30","Betrayal HC","Scarab",10,6,9.30204,14,11.61122,5,5.99659,3,5,1.48,16,2,5,4,5,9,6,2,2.56,1.38,2,1,12,1,2.28,2.36,2,4,2,1,2,1,1,0.5151,9.32041,0.8,NA,NA,NA
25,"2018-12-31","Betrayal HC","Scarab",10,7,9,14,11,5,6,3,5,1.32,17,2,4.31786,4.74,5,9,6.91438,2,2.70116,2,2,0.8202,11.9801,0.94,2.7702,2,2,4.6101,3,0.37,1,1,1,0.56,9,0.9701,NA,NA,NA
26,"2019-01-01","Betrayal HC","Scarab",10,7,9,14,10.20592,5,6,3,5,1.18592,16,2,5,5,5.04,7.0202,6,2,2.635,2,2,0.8451,12,0.74,2,2,2,4,3,0.37,1.31,1,1,0.43,9,0.9751,NA,NA,NA
27,"2019-01-02","Betrayal HC","Scarab",8,6.66429,9.15112,14,10,5,7,3,5.93,1.90051,16,2,5,4,5.57,7.5901,6.45051,2,3,2,2,1,11.97031,0.72,2,2,2,4,3,0.7,1,1,1,0.49,9,0.7,NA,NA,NA
28,"2019-01-03","Betrayal HC","Scarab",7,6.27,8,13.83,10,5.65765,6.74041,3.63,5,2,16,2,4.59531,3.91531,6,7.65,6.9,2,3,2,1,1,12,0.77,2,2,2,4,3,0.98,1,1,1,0.55,9,0.35,NA,NA,NA
29,"2019-01-04","Betrayal HC","Scarab",7,7,9,13,11,5.77,7,3.3,7,2,16.2051,2,4,4,6,7.15265,7,2,3.33364,2,1,1,12,1,2,2,2,3.72551,3,0.93,2,1,1,0.6,9,0.34,NA,NA,NA
30,"2019-01-05","Betrayal HC","Scarab",7.15102,8,9,13,14,5.5302,6.34082,3.69,7,2,18,2,4.51,4,5,6.45864,7,1,3.7025,1,1,1,12,1,2,2,2,4,3,1,2,1,1,0.48,9,0.33,NA,NA,NA
31,"2019-01-06","Betrayal HC","Scarab",7.03051,7,9,13,14.92439,5,7,3,7,2,17.69071,1.89,4,4,5,7,7,1,4,1.42188,2,0.9601,12.37,1,2,2,2,4,3,0.98,2.53459,1,1,0.51,9.24133,0.32,NA,NA,NA
32,"2019-01-07","Betrayal HC","Scarab",8,7,9,13,16,5,7,3,7,2,17,1.00172,4,4,5,7.34328,7,1,3,1.0402,2,0.53,13,1,3,2,2,4,2,0.97,2.62122,1,1,0.62,9.18,0.31,NA,NA,NA
33,"2019-01-08","Betrayal HC","Scarab",9,7,10,13,16,5,7,3,6.39,2,16,1.36583,4,4,6,7,6.24,1,4,1,2,0.62,12.81184,1,3,2,2,3,2,0.88,2.48041,1,1,0.31,9,0.31,NA,NA,NA
34,"2019-01-09","Betrayal HC","Scarab",9,7.73531,10,12.26,15,5,7,3,7,2,16.89041,2,5,4,6,7,5,1,4,1,2,0.82,13,0.97,2.3302,2,2.12,3,1.80531,1,2.5,1.13,1,0.3,10,0.29,NA,NA,NA
35,"2019-01-10","Betrayal HC","Scarab",8,7.63031,11,11,11,5,7,3,7,2,16,2,5,4,6,6,4.33041,1,4,1.47,2,1,13,0.98,2,2.26436,2,3,2,0.96,2,1.0001,1,0.3,9.01,0.29,NA,NA,NA
36,"2019-01-11","Betrayal HC","Scarab",7,8,12.31857,10,9,5,6,3,7,2,17,2,4,4.27,6,5,4.36,1,4,1.59156,2,1,13,0.98,2,2.33,2,2.76,2,1,2,1,1,0.29,9.20878,0.29,NA,NA,NA
37,"2019-01-12","Betrayal HC","Scarab",7.33041,7,12,10,9,5,6.52592,3,7,2,17,1.98588,4,4.25,6,5,4,1.09,4,1.92692,2,0.54,13,0.92,2,2.80204,2,2,2,1,2,1,0.9851,0.57,9,0.27,NA,NA,NA
38,"2019-01-13","Betrayal HC","Scarab",8,6,13,11,9,5.55,7,3,7,2,18,3.57,4,4.54,5.7,6,4.1151,1.75,4,2,2,1,13,0.68,2,3,2.38,2,2,1,1.28571,1,0.82531,1,9,0.27,NA,NA,NA
39,"2019-01-14","Betrayal HC","Scarab",8,6,13,10,8,5,6,3.68,7,2,17,4,4.5,4.73511,6.03167,6,4.28,1.87673,4,2,2,1,13,0.74,2,3,3,2,2,1,1,1,0.7202,1,9,0.27,NA,NA,NA
40,"2019-01-15","Betrayal HC","Scarab",8,6,13,10,9,5,6,3.95,7,2,17,4,4,4.69,7,5,5,2,4,2,1.45,1,13,0.72,2,3,3,2,2,1,1.87531,1,0.96,0.59,9,0.27,NA,NA,NA
41,"2019-01-16","Betrayal HC","Scarab",7,6,14.13,10,10,5,6,3,7,2,16,4,4,4.02,7,4.79,5,2,4,2,1.89,1,12,0.77,2,2.6302,1.99867,2,2,1,1,1,1,0.54,9,0.27,NA,NA,NA
42,"2019-01-17","Betrayal HC","Scarab",6.79531,6,13.90041,9.72,9,5,6,4,7,2,17,4,4,4,8,4,4,2,4,2,2,0.6051,13,0.82,2,2,2,1.67,2,1,1,1,0.94,0.59,9,0.28,NA,NA,NA
43,"2019-01-18","Betrayal HC","Scarab",7,7,14,9,8,5,6,4,7,2,16,4,4,3.04,9,4.84,4,2,4,2,2,0.78,13,0.86,2,2,2,1.87,2,1,1.21,1,1,0.7351,9,0.26,NA,NA,NA
44,"2019-01-19","Betrayal HC","Scarab",7,6,13.31571,9,8,5.20419,6,4,6,2,17,4,4,3.23469,8,4.33,4,2,4,2,2,0.55,13,0.897,2,2,2,1.65,2,1,1.8751,1,1,1,10,0.49,NA,NA,NA
45,"2019-01-20","Betrayal HC","Scarab",6,5,12.11112,9,7,6,6,3,6,2,15.21245,4,4,3,8,5,4,2,4,2,2,0.63,12.06143,1,2,2,2.99,1.43,2,1,2,1,1,1,8,0.47,NA,NA,NA
46,"2019-01-21","Betrayal HC","Scarab",6,5,12.00122,9.59041,7,6,6,3,5,2,14,3,4,2.91051,7.07,5,4,2.3,4,1.99193,2,1,12,1,2,2,3,1.79,1,1,2,1,1,1,9,0.34,NA,NA,NA
47,"2019-01-22","Betrayal HC","Scarab",5.98041,5,11.9951,9,7,6.06857,6,3.6251,5,2,14.31551,3,3,2.03551,8,5,4,2.32,4,1.85,2,1,12,1,2,2,2.94,2,1,1,2,1,1,1,8,0.36,NA,NA,NA
48,"2019-01-23","Betrayal HC","Scarab",5,5,12,9,6,6,5.7802,4,5,2,14.5851,3,3,3,8,5,4,3,4,1.59,2,1,11.73082,1,2,1.93,2,1.96,1,1,1.66,1,1,1,6,0.38,NA,NA,NA
49,"2019-01-24","Betrayal HC","Scarab",5,5,12,8,7,7.34,6,3.70071,6,2,14,3,3,3,8,5,4,3,4,1.16,2,1,10,0.98922,1.86,2,2,2,1.47,1,1.74061,1,1,1,5.92031,0.42,NA,NA,NA
50,"2019-01-25","Betrayal HC","Scarab",5,5,12,8,8,7.39776,6,3,5.27,2,14.38031,3,3,3.62,7.05568,5,3.57,3.15,4,1.44,2,0.83,10.84,0.8,2,1,2,2,1.74,1,2,1,0.98,1,6.2,0.53,NA,NA,NA
51,"2019-01-26","Betrayal HC","Scarab",5,5,12,9,8,6.19171,6,3,5.39,2,14.51367,3,3,3.34,7,4,4,2.97,3.28,1.31784,1.91,1,10,0.96,1.32041,1,2,2,2,0.99,1.47102,1,1,1,7,0.51,NA,NA,NA
52,"2019-01-27","Betrayal HC","Scarab",4.17,5,12,9,8,5,6,3,5.13286,2,15,3,3,3,7,4,3.73,2.74,3,1,1.88,1,10,0.98,1,1,2.11,2,2,1,1,1,1,1,7,0.36346,NA,NA,NA
53,"2019-01-28","Betrayal HC","Scarab",5,5,11.95,8.74541,10,7,6,3.2051,6,2,16,3,3,3,7,3.99727,4,2.74,3,1,1.83,1,11,0.97,1.5,1,2,2,2,1,2,1,1,1,7,0.42038,NA,NA,NA
54,"2019-01-29","Betrayal HC","Scarab",5,5,10.16,8.52326,11,8,6,3.24,6,2,19,3,3,3,6.50276,4,3.62705,3,3,1,1.97,1,11,0.82,1.72061,1,2.03333,2,2,0.96,2,1,0.95,1,7,0.52,NA,NA,NA
55,"2019-01-30","Betrayal HC","Scarab",5.47,5.64,12.87,8.72,9.86286,8,6,3,6,2,19.94551,3,3,3,7,4.23,3.51438,3,3,1,1.96,1,11.23769,0.56,1.6802,1,2.00288,2,2,0.96528,2,1,0.66,1,7,0.49,NA,NA,NA
56,"2019-01-31","Betrayal HC","Scarab",5.27026,6,13,9,10.86,8,6,3.11235,6,2,20,3,3,3,7,4.23,3.85,3,3,1,1.97,1,11.02953,0.51,1.33122,1,2.38978,2,2,1,2,0.9,0.62,1,8,0.33,NA,NA,NA
57,"2019-02-01","Betrayal HC","Scarab",5.83083,6,13.5,10,12.25,7.43207,6.55,3,6,2,18.97061,3,3,3,7.35,4.99,4,3,3.61,1,1.97,1,12,0.58,1,1,2.55,2.34,2,1,2,0.87,0.98,1,8,0.17,NA,NA,NA
58,"2019-02-02","Betrayal HC","Scarab",6.97476,6,13,10,14,7,6,3,6,2,20,3,3,4,7.41,5,4,3,3,1,2,0.42,12.69,0.63,1,1,2,2.69,2,1,2,0.87419,0.99529,1,8,0.16,NA,NA,NA
59,"2019-02-03","Betrayal HC","Scarab",9.81,6,13.03,10,12,7,5.63,3,6,2,19,3,3,3.47,7,5.63,4,3,3.36,1,2,0.65,13,0.64,1,1,1.75806,2.84,2,1,1.54,0.9,0.86,1,8,0.22,NA,NA,NA
60,"2019-02-04","Betrayal HC","Scarab",10,7,13,10,12,6,5,3,6,2,18,3,3,4,7,6,4,3,3.42,1.25,2,0.6,13,0.55,1,1,2,2.48,2,1,1.12,0.95,0.75,1,8,0.35,NA,NA,NA
61,"2019-02-05","Betrayal HC","Scarab",9.88061,7,14,10.19,12,6.59347,5,3,5.32737,2,20,3,3,4,7,5.10588,5,3,3.37,1.4,2,0.68,13,0.58,1,1,2.99167,2.5,2,1,1.36,1,0.97,0.9723,8,0.47,NA,NA,NA
62,"2019-02-06","Betrayal HC","Scarab",9.3601,6,13.44,9.08,13,6,5,3.85,5.86912,2,20,3,2.65,4,7.72,6,5,3,3.42,1.44,2,0.27,13.99,0.59,1,1,3,2.75,1.4,1,1.41,1,0.83357,0.91,8,0.488,NA,NA,NA
63,"2019-02-07","Betrayal HC","Scarab",9,6,14,9.63,11.58031,6,5,3.08,5.63586,2,19.31061,3,2.73,4,8,5.22,5,3,4,2,2,0.3001,14,0.73,1,1.36,3,2.82,2,1,1.48138,1,0.92524,1,8,0.51,NA,NA,NA
64,"2019-02-08","Betrayal HC","Scarab",9.92,6,14,9,10,6,5.18,3,5.75,2,20,3.2525,3,4,8,5.1525,5,3,4,2,2,0.34,14.12,0.77,1.3,2,3,2.5085,2,1,1.49,1,1,1,8,0.72444,NA,NA,NA
65,"2019-02-09","Betrayal HC","Scarab",10.83,7,14,10,9,6,5,2.93,6,2,19.14061,3,2.88375,4,8,5.19,5,3,4,2,2,0.34,14,1,1.77,2,3,2.17,2,1,1,1,0.96,1,7.33,0.925,NA,NA,NA
66,"2019-02-10","Betrayal HC","Scarab",10,8.65,13,10,9,6.19,5.85553,3.53,6.99,2,24,3.46,2.56,4,8,5.01,5,3,4,2,2,0.34,14.95,1,1.95,2,3,2,2,1,1,1,1,1,8,0.93,NA,NA,NA
67,"2019-02-11","Betrayal HC","Scarab",10,9,13,10,8,7,7,3,7,2,23.84,3.15,2,4,8,5,5,2,4,2,2,1,15,1,2,2.22,3,2,2,1,1,1,1,1,8.19,1,NA,NA,NA
68,"2019-02-12","Betrayal HC","Scarab",10,7,13,9.67,8,7,7,3,6,2,20,3,3,4,8,5,5,2,3.72,1.27,2,0.73,13.19,0.63,1.3,1,3,2,2,1,1,1,1,1,8,0.52,NA,NA,NA
69,"2019-02-13","Betrayal HC","Scarab",10,7,12.41,10,8,6.63,7,3,6,2,20,3,3,4,8,5,5,2,3,1.19,2,0.84,14,0.63,1.32,1.89,3,2,2,1,1,1,1,1,8,0.64,NA,NA,NA
70,"2019-02-14","Betrayal HC","Scarab",10,7,13,10,8.5,6,6.86,3,6,2,20,3,3,4,8,5,4,2,4,2,2,0.87,14.39,0.92,1,2,3,2,2,1,1.1,1,1,1,8,0.72,NA,NA,NA
71,"2019-02-15","Betrayal HC","Scarab",10,7,13,10,8.62,6,6.82,3.21,6,2.07,20,3,3,4,8,5,4,2,4,2,2,0.91,14,0.89,1,2,3,2,2,1,1.22,1,1,1,8,0.84,NA,NA,NA
72,"2019-02-16","Betrayal HC","Scarab",10,8,13,10,8.34,6,6.3,3.24,7,2.17,20,3,3,4,8,5,4,2,4,2,2,0.95,11.04,0.89,1,2,2.72,2,2,1,1.27,1,1,1,8,1,NA,NA,NA
73,"2019-02-17","Betrayal HC","Scarab",10,7.07,12.84,10,9.42,6,6.66043,4,7,2.73,22,3,3,4,7.51,5,4,2,4,2,2,0.82,13.21,1,1.48,2,2,2,2,1,1.5848,1,1,1,8.05,1,NA,NA,NA
74,"2019-02-18","Betrayal HC","Scarab",9,9,12.52294,10,9.95,6,7.47,4,7,3,24,3,3,4,7.76,5,4,2,4,2,2,0.63,12.43,1,1,2,1.34,2,2,1,2,1,1,0.61,9.62,1,NA,NA,NA
75,"2019-02-19","Betrayal HC","Scarab",9,9,12.15,10,10,7,8,4,7,3,26.48,4,2.58,4,8,5,4,2,4,2,1.68,0.83,10.99,1,1.2,2,1.65,2,2,1,2,1,0.99,0.63,9.88,1,NA,NA,NA
76,"2019-02-20","Betrayal HC","Scarab",9,9.6,10,10,9.87,7,7.96,4,7,3,30,4,2.83,4,8,5,4,2,4,2,1.59,0.65,12.58,1,1.23,2,1.8928,2,2,1,1.83,1,0.93,0.63,9.75,1,NA,NA,NA
77,"2019-02-21","Betrayal HC","Scarab",9,10,10.53525,10,9.91,7,8,4.4,7.45,3,28,5,2.31,4,8,5,4,2,4,2,1.5,0.74,11.75,1,1.62,2,1.82,2,2,1,1.54,1,1,0.65,10.63,1,NA,NA,NA
78,"2019-02-22","Betrayal HC","Scarab",9.15,10.15,10,10,9.94,7,8.36,4.51,7.45,3,28,5,2,4,8,5,4,2,4,2,1.5,0.85,10.12,1,1.49,2,2,2,2,1,1,1,1,0.91,10.86,0.99,NA,NA,NA
79,"2019-02-23","Betrayal HC","Scarab",10,11,10,10,9.21,7,8.07,4.63,8,2.92,28.01,5,2.86,3,7.44,5,4,2,4,2,1.4,0.9,12.02,1,1.28,2,2,2,2.24,1,2,1,1,1,10.86,1,NA,NA,NA
80,"2019-02-24","Betrayal HC","Scarab",9,10,10,10,9.83,7.17,8.43,5,8,2,28,5.56,2.86,3,6,5,4,2,4,2,1.51,0.92,17.52,1,1.51,2,1.28,2,2.14,1,2,1,1,1,10.61,1,NA,NA,NA
81,"2019-02-25","Betrayal HC","Scarab",9,10,10,10,10,7.08,9.53,5,8,2.88,29.31,5.79,2,3,6,5,4,2.55,4,2,1.51,0.89591,18.17,1,1.12,2,1,2,3,1,2,1,1,1,10,1,NA,NA,NA
82,"2019-02-26","Betrayal HC","Scarab",9,10,10,10,10,8,9.83,5,8,2.51,29,5.91,2,3,5.63,4.86,4,3,4,2,1.51,0.85,19.45,1,1.13,2,1.4,2,2.86,1,2,1,1,1,10,1,NA,NA,NA
83,"2019-02-27","Betrayal HC","Scarab",9,11,10,10,10,7.73,10.45,5,8.05,2.5,30,8,2.41,3,5.43,5,4,3,4,2,1.51,0.8,20,1,1.22,2,1.2,2,2.69,1,2,1,1,1,10,1,NA,NA,NA
