"Day","Date","League","Type","Gilded.Ambush.Scarab","Gilded.Bestiary.Scarab","Gilded.Breach.Scarab","Gilded.Cartography.Scarab","Gilded.Divination.Scarab","Gilded.Elder.Scarab","Gilded.Harbinger.Scarab","Gilded.Perandus.Scarab","Gilded.Reliquary.Scarab","Gilded.Shaper.Scarab","Gilded.Sulphite.Scarab","Gilded.Torment.Scarab","Polished.Ambush.Scarab","Polished.Bestiary.Scarab","Polished.Breach.Scarab","Polished.Cartography.Scarab","Polished.Divination.Scarab","Polished.Elder.Scarab","Polished.Harbinger.Scarab","Polished.Perandus.Scarab","Polished.Reliquary.Scarab","Polished.Shaper.Scarab","Polished.Sulphite.Scarab","Polished.Torment.Scarab","Rusted.Ambush.Scarab","Rusted.Bestiary.Scarab","Rusted.Breach.Scarab","Rusted.Cartography.Scarab","Rusted.Divination.Scarab","Rusted.Elder.Scarab","Rusted.Harbinger.Scarab","Rusted.Perandus.Scarab","Rusted.Reliquary.Scarab","Rusted.Shaper.Scarab","Rusted.Sulphite.Scarab","Rusted.Torment.Scarab","Gilded.Legion.Scarab","Polished.Legion.Scarab","Rusted.Legion.Scarab"
81,"2019-08-26","Legion HC","Scarab",8,6.94,7.17,13,6.7,3.26,0,11.37,5.31,2,30,7.3,3.32,2.49,3.16,4.94,4.35,1,5.64,5.04,2,1,23.96,2.085,2,2.96,1,1.01,2,1,2.32,2.93,0.97,0.76,20,1.03,NA,NA,NA
82,"2019-08-27","Legion HC","Scarab",8.53,6.65,7.17,13,6.84,3.26,0,11.56,5.31,2,27.13,7.6,3.13,2.44,3.16,4.94,5,1,6.49,5,2,1,24,1,2,2.36,1,1,2,0.89,2,2.95,0.97,0.75,20,1.21,NA,NA,NA
83,"2019-08-28","Legion HC","Scarab",8.53,6.54,6.82,12.92,6.15,3.49,0,11.58,5.31,2,27.13,7.6,2.8,2.45,3.44,5,4.4,1,6.3,5,2,1,24,1,2,1.85,1,1,2,1,2,2.6,1,1,20,1.35,NA,NA,NA
84,"2019-08-29","Legion HC","Scarab",8.43,6.54,6.82,12.92,5.46,3.39,0,11.16,5.31,2,28.32545,7,4.65,2.29,3.32,5,4.22,1,6.3,5,2.65,1,24,1,2.01,1.51,1,1,2,1.21,1.05,2.56,1,1,19.93,0.81,NA,NA,NA
85,"2019-08-30","Legion HC","Scarab",9.55,6.54,6.85,12.63,5.46,3.2,25,10.88,5.33,2,27.6,7,4.64,2.69,2.81,6.41,3.84,1,6.2,7.1,3,1,24,1,1.9,1.42,1,1,2,1.21,1,2.56,1,1,19.35,0.82,NA,NA,NA
86,"2019-08-31","Legion HC","Scarab",9.66,7.31,7.03,12.63,6.28,3.1,25,10.95,5.33,2,30.89,7,3.52,2.52,2.81,6.41,3.65,1,1.99,7.65,2.49,1,22.1,1.22,1.8,1.54,1,1,2,3.15,1,2.96,1,1,19.38,0.75,NA,NA,NA
87,"2019-09-01","Legion HC","Scarab",9.66,11.09,7.03,13,5.46,3.1,25,10.61,5.33,2,38.56,7,3.52,3.3,2.64,8,3.65,1,1.5,7.65,2.49,1,22.65,1.22,1.7,1.41,1,1,2,1.43,1,2.86,1,1,19.17,1,NA,NA,NA
88,"2019-09-02","Legion HC","Scarab",11.31,11.09,7.24,13,5.46,3.1,25,10.62,5.33,3.81,39.33,7,3,3,2.8,8.65,3.65,1.42,1.5,7.65,2.5,1,26.57,1.22,1.7,1.3,1,1,2.75,1.43,1,3.01,1,1,18.55,1,NA,NA,NA
89,"2019-09-03","Legion HC","Scarab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
1,"2019-12-13","Metamorph HC","Scarab",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"2019-12-14","Metamorph HC","Scarab",0,0,10,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,2,0,0,0,0,0,2,0,3,2,2.22,1,0,3,2,2,5.86667,2,0,0,3.54
3,"2019-12-15","Metamorph HC","Scarab",12,0,8.2,0,0,10,20,0,0,4,19.859,0,4,0,2.2,0,0,0,2,0,0,5,8,0,2.3,2,3,2,1,1.58278,3.1,2,1.41,2,5,1,25,8,3.8
4,"2019-12-16","Metamorph HC","Scarab",5.7,0,8,25,6.1,10,20,0,0,8.23,13.77,0,4,5,1.6,7,4,8.5,2.22,1.65,0,3.85,8,2,1.83,2,2,2,1,1.99,3,2,1.14,2,6,1,25,8,2.99448
5,"2019-12-17","Metamorph HC","Scarab",5.7,15,7.39,20.5,6.1,9.1,20,0,0,11.22,10.81,0,3.7,2.8,2.27,7,4,7,3,1.65,0,3,8,2,1,2,2,2,1,2,2.57975,2,1,2,7,1,0,4,2
6,"2019-12-18","Metamorph HC","Scarab",5,15,4.75,15.5,6.235,7.41,20,15,0,10,10,10,3.32,3.42,4,7.43,3,3.47,3,2.71,4,2,8,2,1,1.92,1.91,2,1,2,2,2,1,2,6,1,50,4,2.27
7,"2019-12-19","Metamorph HC","Scarab",5,12.22,5.38,15,6,6.7,20,15,10,9,10,2.94,2.83,3.85,4,6.77,3.63,3,3,3,4,2,8,2,1,1.59,2,2,1,2,2,1.83,1,2,6,1,18.41,4.4,2
8,"2019-12-20","Metamorph HC","Scarab",5,10.41,6,9.22,5.83,6,11.99,13.21,10,7,9,4.51,2,4,4,5,4,3,2.59,3,4,2,7,2,1,1.03,1.27568,1.83,1,2,2,1,1,1.86,6,1,14.53,5.11,2.5774
9,"2019-12-21","Metamorph HC","Scarab",5,11.3,6,6.44,7,5.86,10,11.58,10,6,10,4.94,2,3.60429,3,4,3.72,3,1.77,2,4,2,7.74065,2,1,1.32931,1,1.8,1,2,1.9532,1,1,1,6,1,16.54,8.15,2.28733
10,"2019-12-22","Metamorph HC","Scarab",5,11.31,6,6.82,7,5,10,9.77,10,6,10,5.14,2,3.8,3,4,3.24,3,1.79,2.0975,4,3,7,2,1,1.38,1,1.86,1,2,1,1,1,1,6,1,17.09,8,2
11,"2019-12-23","Metamorph HC","Scarab",5,10.2,5,6.8055,7,5,10,11.17,9,5,10,5.14,2,4,3,4,3,3,2,2.42,4,2.13,8,2,1,2,1,1.25,1,2,1,1,1,1,6,1,15,7.74,2
12,"2019-12-24","Metamorph HC","Scarab",4.91,10,4,7,7,5,7,10,8,5,11.74,6.17,2,4,2.41,4,3,3,2,2.98,4,2.1,8,2,1,2,1,1.87,1,2,1,1,1,1,6.06521,1,14,7,2
13,"2019-12-25","Metamorph HC","Scarab",4,8,4.03,6,7,6,7,8,6.09,5,11.27,5.86,2,4,2.59,4,3,3,2,3,3,3,6.68,2,1,1.89,1,1.67,1,2,1,1,1,1,5.5,1,14,7,2
14,"2019-12-26","Metamorph HC","Scarab",4,7.02,4.32,6,7,6,6,6.86,8,5,12,5,2,4,2,4,3,3,2.22,3,3,3,9,2,1,2,1,1.47,1,1.89,1,1,1,1,6,1,14.36,7,2
15,"2019-12-27","Metamorph HC","Scarab",3.64,7.02,4,6,7,8,6,6,8.58,4,13,4,2,4,2,3,2.38,3,2,3,3,3,9,2,1,2,1,2,1,2,1,1,1,1,5,1,14,7,2
16,"2019-12-28","Metamorph HC","Scarab",4,7,4,5,7,8,5.58,5.12,8.58,4,12,4,2,4,2,3,2.86,3,2,2,3,2,9,2,1,2,1,2,1,2,1,1,1,1,6.92,1,14,7,2
17,"2019-12-29","Metamorph HC","Scarab",4,7.74,4.08,5,6,5.4,5.61,4.04,8.59,4,12.8,3.67,2,4,2,3,3,3,2,2,3,2,9,2,1,2,1,1.73,1,1,1,1,1,1,7,1,15,7,2.05
18,"2019-12-30","Metamorph HC","Scarab",4.74,9,5,5,5,5,5,4,8.4,4,12.38,3.78,2,4,2,3,3,3,2,2,3,2,8,2,1,1.46,1,1,1,1,1,1,1,1,7,1,14,7,2.17118
19,"2019-12-31","Metamorph HC","Scarab",4.74,9,5,5,5,5.82,5,4,8.4,4,12,3.69,2,4,2,3,2.98628,3,2,2,3,2,8,2,1,1,1,1,1,1,1,1,1,1,7,1,14.1,7,2.05
20,"2020-01-01","Metamorph HC","Scarab",4,9,5,5,5,6.78,4.9,4,8.3,4,13,3,2,4,2,3,2.1,3,2,2,3,2,8,2,1,1,1,2,1,1,1,1,1,1,7,1,14,7,2.71333
21,"2020-01-02","Metamorph HC","Scarab",4,9,5,5,4,7,4,4,8.41,4,12,3,2,3,2,3,2.73,3,2,2,3,2,9,2,1,1,1,1,1,1,1,1,1,1,7,1,13,7,3
22,"2020-01-03","Metamorph HC","Scarab",4,9,5,5,4,6.94,4,4,7.68,4,13,3,2,3.00273,2,3,2.67,3,2,2,3,2,9,2,1,1,1,1,1,1,1,1,1,1,7,1,11,7,3
23,"2020-01-04","Metamorph HC","Scarab",4,9,5,5,4,8.55,4.26,4,7,4,13,3,2,3.4,2,3,2,3,2,2,2.86,2,9,2,1,1,1,1,1,1,1,1,1,1,6,1,13,7,3
24,"2020-01-05","Metamorph HC","Scarab",4,9.31,5,5,4,8.66,4.92,4,6.86,4,13,3,2,3.42,2,3,2,3,2,2,2.99,2,8,2,1,1,1,1,1,1,1,1,1,1,5,1,13,7,3
25,"2020-01-06","Metamorph HC","Scarab",4,9,5,5,5,8,6,4,6.77,3,13,3,2,3.85,2,3,2,3,2,2,2.09,2,8,2,1,1,1,1,1,1,1,1,1,1,6,1,13,7.71,2.00027
26,"2020-01-07","Metamorph HC","Scarab",4,9,5,5,4.65,8.22,6,4,6,3,12,3,2,4,2,3,2.36,3,2,2,2,2,8.93,1,1,1,1,1,1,1,1,1,1,1,6,1,13,8,3
27,"2020-01-08","Metamorph HC","Scarab",3,9,5,5,5,11.38,5.14,4,6,3,12,3,2,3,2,3,2.8,3,2,2,2,2,8.91535,1,1,1,1,1,1,1,1,1,1,1,6,1,13,8,3
28,"2020-01-09","Metamorph HC","Scarab",3.66,7.97708,5,5,5,16.24,5.06923,4,6,3,12,3,2,3,2,2,2.3,3,2,2,2,2,8,1.37,1,1,1,1,1,1,1,1,1,1,6,1,14,8.00429,3
29,"2020-01-10","Metamorph HC","Scarab",3.51,8,5,5,5,17,5,4,6,3,12,3,2,3,2,2,2.50192,3,2,2,2,2,8,2,1,1,1,1,1,1,1,1,1,1,6.25005,1,15,8.68,4
30,"2020-01-11","Metamorph HC","Scarab",3.56,8,4.82,5,5,16.89,5,4,6.91,3,12,2,2,3,2,2,2.58759,3,2,1,2,1.84,8,1,1,1,1,1,1,1,1,1,1,1,6,1,17.52154,9.89676,4
31,"2020-01-12","Metamorph HC","Scarab",3.71,8,5.36,5,6,13,5,4,6.8,3,12,2,2,4,2,2,2,3,2,1.9,2,1.99,8,1,1,1,1,1,1,1,1,1,1,1,6,1,18.74143,10,4.26
32,"2020-01-13","Metamorph HC","Scarab",3.83,9,5,5,7.4,11.88,7.41,4,6.86,3,12,2.81,2,4,2,2.43,3,3,1.72,1.79,2,2,7.79,1,1,1,1,1,1,1,1,1,1,1,6,1,15.8,9.23,5
33,"2020-01-14","Metamorph HC","Scarab",4,8.9,5,5,8,11,8,4,6,3,12,2,2,4,2,2,3,3,2,2,2,1.84,8,1,1,1,1,1,1,1,1,1,1,1,6,1,15.91,10,4.59
34,"2020-01-15","Metamorph HC","Scarab",4,9,5.52,5,8,10.98387,8,4,6,3,10.63187,2,2,5,2,2.26,3,3,2,2,2,1.22,8,1,1,1,1,1,1,1,1,1,1,1,6,1,14.89,10,4
35,"2020-01-16","Metamorph HC","Scarab",4.16,8.27,5.08,5,8,10,8,4,6,3,12,2,2,5,2,3,3,3,2,2,2,1.61,7.62505,1,1,1,1,1,1,1,1,1,1,1,5.93,1,18.64547,10,4
36,"2020-01-17","Metamorph HC","Scarab",4.2,8.50719,4.81,5,8,10,8,4,7.08,3,11.95025,2,2,5,2,3,3,3,2,2,2,1.75,7,1,1,1,1,1,1,1,1,1,1,1,6,1,19.93091,10,4
37,"2020-01-18","Metamorph HC","Scarab",4.2,8.92457,5.63,5,7.69,9,7,4,6.63,3,11,2,2,5,2,2.54,3,3,2,1,2,2,7,1,1,1,1,1,1,1,1,1,1,1,6,1,20.31,10,4
38,"2020-01-19","Metamorph HC","Scarab",4.196,9,5,5,7,9,7,3,5.82,3,11,2,2,5,2,2.15,3,3,2,1,2,1,7,1,1,1,1,1,1,1,1,1,1,1,5,1,22.28,10,4
39,"2020-01-20","Metamorph HC","Scarab",5,8,5,5,7,9,7.06,3.07,5.19679,3.61,11,2,2,5,2,2,3,3,2.65,1.1248,2,1,7,1,1,1,1,1,1,1,1,1,1,0.92,5,1,24,10,4
40,"2020-01-21","Metamorph HC","Scarab",6.54352,8,5,4,7,7.43176,7,3.79,6.18,4,10.79515,2,2,5,2,2,2.84345,3,3,2,2,1.08,7,1,1,1,1,1,1,1,1,1,1,1,5,1,22.09,9.77,4
41,"2020-01-22","Metamorph HC","Scarab",8,8,5,4,7,6,7,3.78,7.83,4,10,2,1.98,4.92897,2,2,2,3,3,2,2,1.38,7,1,1,1.8,1,1,1,1,1,1,1,1,5,1,20,9,4
42,"2020-01-23","Metamorph HC","Scarab",8,8,5,4,6.48309,8.22,7,4,7.55,4,10,2,2,4.7578,2,1.95,2,2.19,3,2,2,1.4,7,1,1,1.19559,1,1,1,1,1,1,1,1,5,1,20,9,4
43,"2020-01-24","Metamorph HC","Scarab",8,8,5,4,6.16,7.79,7,5,8.7,4.86,10,2,2,4,2,2,2,2,3,2,2,1.41,7,1,1,1.01,1,1,1,1,1,1,1,1,5,1,20,9,4
44,"2020-01-25","Metamorph HC","Scarab",7,7,5.62,4,7,7.31,7,4,7.98,5,10,2,2,4,2.62,2,2,2,3,3,2,1.97,7,1,1,1.13,1,1,1,1,1,1,1,1,5,1,20,9,4
45,"2020-01-26","Metamorph HC","Scarab",6,7,6.4925,4,6.29,9,7,4,6.3,5,10,2,1.93,4,3,2,2,2,3,3,2,2,7,1,1,1.01,1,1,1,1,1,1,1,1,5,1,20.48,8.11,4
46,"2020-01-27","Metamorph HC","Scarab",5.77,7,7,4,6,9,5.87,4,5,5,10,2,1.86,4,3,2,2,2,3,3,2,2,7,1,1,1.21,1,1,1,1,1,1,1,1,5,1,20,8.55,3.55
47,"2020-01-28","Metamorph HC","Scarab",6,7,7.05,4,7,9,7,4,5,4.25,10,2,2,4,3,2,2,2,3,3,2,2,7,1,1,1.36,1,1,1,1,1,1,1,1,5,1,20,9,4
48,"2020-01-29","Metamorph HC","Scarab",5,7,7,4,6.59,9,7,4,5,4.6,10,2,1.97,4,2.745,2,2.28,2,3,3,2,2,7,1,1,1.88,1,1,1,1,1,1,1,1,5,1,20,8,4
49,"2020-01-30","Metamorph HC","Scarab",5.85,6.27,7,4,6,7.23,6.31,4,5,4,10,2,1.96,4,2.54122,2,2,2,3,3,2,2,7,1.29,1,2,1,1,1,1,1,1,1,1,5,1,20,8,4
50,"2020-01-31","Metamorph HC","Scarab",6,7,7,4,6,7.71,6.11,4,5,4,10,2,1.99,4,3,2,2,2,3,2.62,2,2,7,1,1,1.33059,1,1,1,1,1,1,1,1,5,1,20,8.22,4
51,"2020-02-01","Metamorph HC","Scarab",5,6.1,7,3.48,6,7.32,6.58,4,5,5,10,2.11,2,4,3,2,2,2,3,2,2,2,7,1.17,1,2,1,1,1,1,1,1,1,1,5,1,20,8.3,4
52,"2020-02-02","Metamorph HC","Scarab",5,6,6.6225,3.57,6,8.32,7.955,4,5,4.47,10,2.28,2,3.92,3,2,2,2,3,2,2,2,7,1.04,1,1.54,1,1,1,1,1,1,1,1,5,1,20,8,4
53,"2020-02-03","Metamorph HC","Scarab",5,6,6.72,4,6,8.62,8,4,5,4,10,2.22,1.95,3,3,2,2,2,3,2,2,2,7,1.07,1,2,1,1,1,1,1,1,1,1,5,1,20,8.29,4
54,"2020-02-04","Metamorph HC","Scarab",5,6,6.69,4,6,8.88391,8,4,5,4,10,2.41,2,3,3,2,2.55,2,3,2,2,2,7,1,1,2,1,1,1,1,1,1,1,1,5.47949,1,20,8,4
55,"2020-02-05","Metamorph HC","Scarab",5,6,7,4,6,9,8,4,5,4,10,2.53,3,3,3,2,3,2,3,2,2,2,7,1,1,2,1,1,1,1,1,1,1,1,5.92756,1,22,9,4
56,"2020-02-06","Metamorph HC","Scarab",5,6,7,4,6,9,7.94,4,5,4,10,3,3,3,3,2,3,2,3,2,2,2,7,1,1,2,1,1,1,1,1,1,1,1,6,1,23.63,9,4
57,"2020-02-07","Metamorph HC","Scarab",5,6,7,4,6,8.46,7.6,4,5,4,10,3,3,3,3,2,3,2,3,2,2,2,7,1,1,2,1,1,1,1,1,1,1,1,6.57,1,24,9,4
58,"2020-02-08","Metamorph HC","Scarab",5,6,7,4,6,8.45,8,4,4.98,4,10,3,3,3,3,2,3,2,3,2,2,2,7,1,1,1.37308,1,1,1,1,1,1,1,1,6.61,1,23.259,9,4
59,"2020-02-09","Metamorph HC","Scarab",5,6,6.44,3.44,6,8.39,8.46,4,3.08,4,10,3,3,3,3,2,3,2,3,2,2,2,7.2,1,1,1.35203,1,1,1,1.16,1,1,1,1,7,1,22.03857,8.56524,4
60,"2020-02-10","Metamorph HC","Scarab",5,6,6,3.46,6,9.01,9,4,3.08,4,10,3,3,3,3,2,3,2,3,2,2,2,7.72,1,1,2,1,1,1,1,1,1,1,1,7,1,24,9,4
61,"2020-02-11","Metamorph HC","Scarab",5,6,6,3.5,6,9,9,4,3.3,4,10,3,3,3,3,2,3,2,3,2,2,2,8.27,1,1,2,1,1,1,1,2,1,1,1,7,1,23.74,9,4
62,"2020-02-12","Metamorph HC","Scarab",5,6,6,3.4,5.2,9,8.89,4,4.7,4,10.23,3,3,3,3,2,3,2,3,2,2,2,9,1,1,2,1,1,1,1,2,1,1,1,7,1,25,9,4.18
63,"2020-02-13","Metamorph HC","Scarab",4.79,6,5,3.44,5.68,9,9,4,4.74,4.29,12,3,3,3,3,2,3,2,3,2,2,2,9,1,1,2,1.2,1,1,1,2,1,1,1,7,1,25,9,4.78
64,"2020-02-14","Metamorph HC","Scarab",4.7,6,5,3.93,5.44,9,9,4,5,4.32,12,3,3,3,3,2,3,2,3,2,2,2,8.78,1,1,2,1.34,1,1,1.62,2,1,1,1,7,1,26.12333,9,4.6
65,"2020-02-15","Metamorph HC","Scarab",4.81,6,5,3.86,3.53,9,9,4,4.87,4.1,12,3,3,3,3,2,3,2.03,3,2,2,2,8.78,1,1,1.44,1.24,1,1,1.65,2,1,1,1,7,1,25.77,9,4.61
66,"2020-02-16","Metamorph HC","Scarab",4.72,6,5,3.73,5,8.95,9.07417,4,3.07,5,13.23714,3,3,3,3,2,3,2.53,4.56,2,2,2,10,1,1,1.08,1.41,1,1,2,2,1,1,1,7,1,28.3,9,5
67,"2020-02-17","Metamorph HC","Scarab",4.86,6,5,3.98643,5,8,9.57,4.08,3.75,5,14,3,3,3,3,2,3,2.49,5,2,2,2,10,1,1,1.54,1.5,1,1,2,2,1,1,1,7.12,1,29.69,9,5
68,"2020-02-18","Metamorph HC","Scarab",4.86,6.65,5,3.64,5,8,9.86,4,3.48,6,14.17,2.83,3,3,3,2,2.36,2.29,6.27,2,2,2,10,1,1,1.41,1.3,1,1,2,2,1,1,1,7,1,29,9.04,5
69,"2020-02-19","Metamorph HC","Scarab",4.87,6.35,5,3.42,5,8,8.36,4,3.18,6,15,2.83,3,3,3,2,2.58,2.2,6.41842,2,2,2,10,1,1,1,1.06,1,1,2,2,1,1,1,7.11,1,29.17,10,5
70,"2020-02-20","Metamorph HC","Scarab",5,6.08,5,3.01,5,7.15,7.29,4.1,5,5,17,2.73,2.97,3,3,1.72,2.81,2.22,6.52,2,2,2,10.23,1,1,1,1,1,1,2,2,1,1,1,7.72,1,29.08375,9.98,5
71,"2020-02-21","Metamorph HC","Scarab",5,5.79,5,3.01,5,7.15,7.29214,4,5,5,17,2.54643,3.57,3,3,1.57,2.85,2.18,6.42,2,2,2,12,1,1,1.28,1,1,1,1.99,2,1,1,1,8,1,30,10,5
72,"2020-02-22","Metamorph HC","Scarab",5,8.2,5,4.25,5,7.26,7.34,4,5,5,17,2.63,3.44,3,3,1.55,3,2.13,6.42,2,2,2,12,1,1,1.22,1,1,1,1.95,2,1,1,1,11.1,1,29.98833,9.28279,5
73,"2020-02-23","Metamorph HC","Scarab",5,8.78,5,4.7,4.7,8,7.36,4,5,5,17.47,2.63,3.44,3,3,2.16,3,2.1,6,2,1.95,2,12,1,1,1.62413,1.04,1,0.96,1.88,2,1,1,1,10.3,1,29.02,9,5
74,"2020-02-24","Metamorph HC","Scarab",4.77,8.78,4.97,4.65,3.97,8,7.48,4.65,5.54,5,17.11418,2.54,3.5105,3,3,2.06,3,2.1,5.26,2.38824,2,2.63,11.65,1,1,1,1.06,1,0.86,2,2,1,1,1,9.50136,1,25,9.53,5
75,"2020-02-25","Metamorph HC","Scarab",4.77,9.96,5,4.82,3.56,7.08,6.3,5,5.54,5,17,3.41,2.89,3,3,1.98,3,2.06,5,2.84,1.97,2.63,10.18,1,1,1,1,1,0.82,2,2,1,1,1,9,1,24.5,9.25,5
76,"2020-02-26","Metamorph HC","Scarab",5,10,5,4.82,3.56,6.89,6.32,5,5.54,5,17,3.41,2.89,3,1.68,2.6,3,2.06,5,2.36,1.97,3,10.13455,1,1,1,1.01,1,0.85,2,2,1,1,1,8.21,1,25,9.45,5
77,"2020-02-27","Metamorph HC","Scarab",5.84,9.26,6.3,4.82,3.97,6.89,8.86,5,10,5,17,3.41,2.94,3,2.26,2.42,3,2.06,5,2.58,1.97,3,12,1,1,1,1,1,0.92,2,2,1,1,1,8.42,1,25,9.03,5
78,"2020-02-28","Metamorph HC","Scarab",5.84,9.26,8.41,4.88,3.97,6.8,9.21,5,10,5,17,3.31,2.94,3,2.26,2.43,2.97,2.01,5,1,1.97,3,12,1,1,1,1.445,1,1,2,2.2,1,1,0.96,8.42,1,25,9.02,5
79,"2020-02-29","Metamorph HC","Scarab",5.65,5.23,8.22,4.88,5,6.6,14.86,4.59,10,5,17,3.21,4,2.7375,2.21,2.06,3,2.62,4.46,1,3,2.96,12,2,1,1,1.23,1,1,1.52,2.16324,1,1,0.95,8.69556,1,25,8,5
80,"2020-03-01","Metamorph HC","Scarab",5.65,5,10,4.88,5,6.6,19.4,4.59,10,5,17,3.22,3.39,2.36,2.21,2.08,3.71,2.62,4.46,1,3,2.79,11.78,2,1,1,1.62,1,1.8,1.52,2.51,1,1,2,8.82,1,25,7.46,5
81,"2020-03-02","Metamorph HC","Scarab",7,4.16,8.31,4.88,5,6.42,19.41,4.51,7.3,5,17,3.22,4,2.58,3.07,2.26,3.82,2.58,5,1,3,2.7,12,2,1,1,1.79,1,2,2,2.52,1,1,2,8.88,1,23.25,7.84,5
82,"2020-03-03","Metamorph HC","Scarab",6.51,4.09,8.31,3.5,5,6.42,12.97,5.43,7.3,5,17,2.3,4,2.4,2.95,1.01,3,2.7,5,1,3,2,12,1.2,1,1,2,0.66,1.8,2,2.49,1,0.66,1.15,9,0.89,23.47,8.74,5
83,"2020-03-04","Metamorph HC","Scarab",6.51,3.99,8.31,3.5,5,6.42,12.97,5.43,7.3,5,17,2.3,4,2.62,2.95,2.19,3,2.7,5,1,3,2,12,1.2,1,1,2,0.76,1.8,2.06,2.07,1.13,0.68,1.78214,9,0.81,21.07,8.52,5
84,"2020-03-05","Metamorph HC","Scarab",6.3,3.9,9.11,3.5,5,6.3,12.97,6.3,7.3,5,17,2.3,4,2.24,2.3,2,3,3,3.85,1,3,2,12,1.2,1,1,2,0.75,1.7,1.8,1.96,1.04,0.68,1.82,9,0.73,20.2,6.99,5
85,"2020-03-06","Metamorph HC","Scarab",6.6,3.9,9,3.5,5,6.6,12.97,6.2,7.3,5,17,2.3,4,2.24,2.06,1.8,3.61,3,3.85,1,3,2,12,1.2,1,1,2,0.58,1.4,1.71,2.39,1,0.51,1,9,0.56,22.36,6.83,5
86,"2020-03-07","Metamorph HC","Scarab",6.94,3.79,1.8,4.06,5,6.4,12.97,2.99,7.3,5,17,2.6,4,2.47,1,1.61,2.18,1.8,1,1,1.61,2,11.6,1.5,1,1,1,0.65,1,1,2.06,1.01,0.58,1,9,0.47,22.7,3.04,4.25447
87,"2020-03-08","Metamorph HC","Scarab",6.94,3.6,9,4.06,5,6.4,12.97,6.31,7.3,5,17,2.6,4,2.28,2.23,1.61,3.51,3,3.85,1,4.52,2.44,12,1.5,1,0.96,1,0.58,1.4,1.62,2.83,1.88,2.68,1,9,2.2,22.42,9.36,4.94
88,"2020-03-09","Metamorph HC","Scarab",6.94,3.6,9,4.06,5,6,12.4,6.21,7,5,17,2.8,4.44,2.31,2.27,1.61,3.53,3.76,3.08,1,11.5,2.89,11.47,1,1,0.96,1,0.69,1.4,1.52,2.83,1.88,4.31,1,8,1.65,22.42,5.76,4.82
