"Day","Date","League","Type","Vial.of.Awakening","Vial.of.Consequence","Vial.of.Dominance","Vial.of.Fate","Vial.of.Sacrifice","Vial.of.Summoning","Vial.of.the.Ghost","Vial.of.the.Ritual","Vial.of.Transcendence"
1,"2019-12-13","Metamorph","Vial",0,0,0,0,0,0,0,0,0
2,"2019-12-14","Metamorph","Vial",0,0,0,0,0,0,0,0,0
3,"2019-12-15","Metamorph","Vial",0,0,0,0,0,0,0,0,0
4,"2019-12-16","Metamorph","Vial",0,0,0,0,0,0,0,0,0
5,"2019-12-17","Metamorph","Vial",0,0,0,0,0,0,0,0,0
6,"2019-12-18","Metamorph","Vial",0,0,0,0,0,0,0,0,0
7,"2019-12-19","Metamorph","Vial",0,0,0,0,0,0,0,0,0
8,"2019-12-20","Metamorph","Vial",0,0,0,0,0,0,0,0,0
9,"2019-12-21","Metamorph","Vial",0,0,0,0,0,0,0,0,0
10,"2019-12-22","Metamorph","Vial",0,0,0,0,0,0,0,0,0
11,"2019-12-23","Metamorph","Vial",0,0,0,0,0,0,0,0,0
12,"2019-12-24","Metamorph","Vial",0,0,0,0,0,0,0,0,0
13,"2019-12-25","Metamorph","Vial",0,0,0,0,0,0,0,0,0
14,"2019-12-26","Metamorph","Vial",0,0,0,0,0,0,0,0,0
15,"2019-12-27","Metamorph","Vial",0,0,0,0,0,0,0,0,0
16,"2019-12-28","Metamorph","Vial",0,0,0,0,0,0,0,0,0
17,"2019-12-29","Metamorph","Vial",0,0,0,0,0,0,0,0,0
18,"2019-12-30","Metamorph","Vial",0,0,0,0,0,0,0,0,0
19,"2019-12-31","Metamorph","Vial",0,0,0,0,0,0,0,0,0
20,"2020-01-01","Metamorph","Vial",0,0,0,0,0,0,0,0,0
21,"2020-01-02","Metamorph","Vial",0,0,0,0,0,0,0,0,0
22,"2020-01-03","Metamorph","Vial",0,0,0,0,0,0,0,0,0
23,"2020-01-04","Metamorph","Vial",0,0,0,0,0,0,0,0,0
24,"2020-01-05","Metamorph","Vial",0,0,0,0,0,0,0,0,0
25,"2020-01-06","Metamorph","Vial",0,0,0,0,0,0,0,0,0
26,"2020-01-07","Metamorph","Vial",0,0,0,0,0,0,0,0,0
27,"2020-01-08","Metamorph","Vial",0,0,0,0,0,0,0,0,0
28,"2020-01-09","Metamorph","Vial",0,0,0,0,0,0,0,0,0
29,"2020-01-10","Metamorph","Vial",0,0,0,0,0,0,0,0,0
30,"2020-01-11","Metamorph","Vial",0,0,0,0,0,0,0,0,0
31,"2020-01-12","Metamorph","Vial",0,0,0,0,0,0,0,0,0
32,"2020-01-13","Metamorph","Vial",0,0,0,0,0,0,0,0,0
33,"2020-01-14","Metamorph","Vial",0,0,0,0,0,0,0,0,0
34,"2020-01-15","Metamorph","Vial",0,0,0,0,0,0,0,0,0
35,"2020-01-16","Metamorph","Vial",0,0,0,0,0,0,0,0,0
36,"2020-01-17","Metamorph","Vial",0,0,0,0,0,0,0,0,0
37,"2020-01-18","Metamorph","Vial",0,0,0,0,0,0,0,0,0
38,"2020-01-19","Metamorph","Vial",0,0,0,0,0,0,0,0,0
39,"2020-01-20","Metamorph","Vial",0,0,0,0,0,0,0,0,0
40,"2020-01-21","Metamorph","Vial",0,0,0,0,0,0,0,0,0
41,"2020-01-22","Metamorph","Vial",0,0,0,0,0,0,0,0,0
42,"2020-01-23","Metamorph","Vial",0,0,0,0,0,0,0,0,0
43,"2020-01-24","Metamorph","Vial",0,0,0,0,0,0,0,0,0
44,"2020-01-25","Metamorph","Vial",0,0,0,0,0,0,0,0,0
45,"2020-01-26","Metamorph","Vial",0,0,0,0,0,0,0,0,0
46,"2020-01-27","Metamorph","Vial",0,0,0,0,0,0,0,0,0
47,"2020-01-28","Metamorph","Vial",0,0,0,0,0,0,0,0,0
48,"2020-01-29","Metamorph","Vial",0,0,0,0,0,0,0,0,0
49,"2020-01-30","Metamorph","Vial",0,0,0,0,0,0,0,0,0
50,"2020-01-31","Metamorph","Vial",0,0,0,0,0,0,0,0,0
51,"2020-02-01","Metamorph","Vial",0,0,0,0,0,0,0,0,0
52,"2020-02-02","Metamorph","Vial",0,0,0,0,0,0,0,0,0
53,"2020-02-03","Metamorph","Vial",0,0,0,0,0,0,0,0,0
54,"2020-02-04","Metamorph","Vial",0,0,0,0,0,0,0,0,0
55,"2020-02-05","Metamorph","Vial",0,0,0,0,0,0,0,0,0
56,"2020-02-06","Metamorph","Vial",0,0,0,0,0,0,0,0,0
57,"2020-02-07","Metamorph","Vial",0,0,0,0,0,0,0,0,0
58,"2020-02-08","Metamorph","Vial",0,0,0,0,0,0,0,0,0
59,"2020-02-09","Metamorph","Vial",0,0,0,0,0,0,0,0,0
60,"2020-02-10","Metamorph","Vial",0,0,0,0,0,0,0,0,0
61,"2020-02-11","Metamorph","Vial",0,0,0,0,0,0,0,0,0
62,"2020-02-12","Metamorph","Vial",0,0,0,0,0,0,0,0,0
63,"2020-02-13","Metamorph","Vial",0,0,0,0,0,0,0,0,0
64,"2020-02-14","Metamorph","Vial",0,0,0,0,0,0,0,0,0
65,"2020-02-15","Metamorph","Vial",0,0,0,0,0,0,0,0,0
66,"2020-02-16","Metamorph","Vial",0,0,0,0,0,0,0,0,0
67,"2020-02-17","Metamorph","Vial",19.51,15.48786,2,1,121.12,65,533.81,2,55
68,"2020-02-18","Metamorph","Vial",19.56,20,2,1,87.07833,62.61,559.005,2,57.21456
69,"2020-02-19","Metamorph","Vial",20,20,2,1,90.82,55,556.26786,2,55
70,"2020-02-20","Metamorph","Vial",18,20,2,1,142.285,55,607.026,2,50
71,"2020-02-21","Metamorph","Vial",18,19,2,1,99.76,55,555.3825,2,50
72,"2020-02-22","Metamorph","Vial",18,19,2,1,104.51,57.08045,554.36,2,50
73,"2020-02-23","Metamorph","Vial",18,19.43,2,1,109.05,57.68071,527.652,2,50
74,"2020-02-24","Metamorph","Vial",19.58,19,2,1,157.08333,55,570.945,2,50.67
75,"2020-02-25","Metamorph","Vial",20,19,2,1,169.682,55,650.63,1.26525,50
76,"2020-02-26","Metamorph","Vial",20,18.81,2,1,169.0505,50,648.62857,1.1,50
77,"2020-02-27","Metamorph","Vial",20,19.78525,2,1,169.3755,50,532.17375,1,50
78,"2020-02-28","Metamorph","Vial",19.04631,18,2,1,169.308,50,534.39,2,50
79,"2020-02-29","Metamorph","Vial",17.97,17.27,2,1,168.86,50,630.7075,2,50
80,"2020-03-01","Metamorph","Vial",17.27,17.34,2,1,76.6,48,825.218,2,45
81,"2020-03-02","Metamorph","Vial",17.59,17.91,2,1,76.63,45,770.15,2,45
82,"2020-03-03","Metamorph","Vial",17.78,17.96,2,1,142.85857,45,772.72375,2,45
83,"2020-03-04","Metamorph","Vial",17.47,14.39015,2,1,135.52667,45,724.24333,2,41.45086
84,"2020-03-05","Metamorph","Vial",16.66,16.04,2,1,72.55,46.07182,727.72,2,40
85,"2020-03-06","Metamorph","Vial",18.05,15,2,1,84.85,45,734.72,2,43.48056
86,"2020-03-07","Metamorph","Vial",16.42,14.92,2,1,84.85,44.53,816.02,2,44
87,"2020-03-08","Metamorph","Vial",16.07,14.21,2,1,85.3,43.03126,824.0725,1.7103,43.13162
88,"2020-03-09","Metamorph","Vial",16.93694,11.39,2,1,82.42,41.04616,910.99,1.62,43.91586
